,model_name,avg_test_acc,ensemble,train_on_augmented_data
31,NNE-logistic_average,0.8976609331671623,True,True
29,NNE-average,0.8974013959564056,True,True
7,All-logistic_average_with_confidence,0.8967387628358852,True,True
4,All-average,0.896616811616373,True,True
6,All-logistic_average,0.8965558360066168,True,True
32,NNE-logistic_average_with_confidence,0.8964203140302017,True,True
30,NNE-average_with_confidence,0.8940247239356732,True,True
8,All-majority_vote,0.8931351879097097,True,True
5,All-average_with_confidence,0.892195517507195,True,True
9,Encoder10-average,0.890928641702023,True,True
11,Encoder10-logistic_average,0.8908676660922669,True,True
12,Encoder10-logistic_average_with_confidence,0.890547153271754,True,True
13,Encoder10-majority_vote,0.8896572535592538,True,True
10,Encoder10-average_with_confidence,0.8884153521460505,True,True
33,NNE-majority_vote,0.8676106000752869,True,True
28,MLP10-majority_vote,0.8659251510611398,True,True
24,MLP10-average,0.8613713044573721,True,True
27,MLP10-logistic_average_with_confidence,0.8613713044573721,True,True
26,MLP10-logistic_average,0.8613713044573721,True,True
25,MLP10-average_with_confidence,0.8601361574905179,True,True
0,Encoder,0.836769950389862,False,True
2,MLP,0.8128656327724457,False,True
20,MCDCNN10-average_with_confidence,0.7972918906900746,True,True
19,MCDCNN10-average,0.7970933290890739,True,True
22,MCDCNN10-logistic_average_with_confidence,0.7967986136419194,True,True
21,MCDCNN10-logistic_average,0.7967376380321634,True,True
23,MCDCNN10-majority_vote,0.7897379301061964,True,True
38,Resnet10-majority_vote,0.7742044413249888,True,True
37,Resnet10-logistic_average_with_confidence,0.7625007517438207,True,True
34,Resnet10-average,0.7621802389233079,True,True
36,Resnet10-logistic_average,0.7621802389233079,True,True
35,Resnet10-average_with_confidence,0.7493672341676377,True,True
18,FCN10-majority_vote,0.689791795978341,True,True
3,Resnet,0.6848629951477051,False,True
16,FCN10-logistic_average,0.6810087229995757,True,True
14,FCN10-average,0.6810087229995757,True,True
17,FCN10-logistic_average_with_confidence,0.6808867717800635,True,True
15,FCN10-average_with_confidence,0.6740946220101983,True,True
1,FCN,0.6020792171359062,False,True
