,dataset_name,model_name,test_acc,confusion_matrix
0,cricket_y,All-average,0.6205128205128205,"[[20, 0, 1, 0, 0, 3, 1, 2, 8, 0, 0, 2], [0, 29, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 4, 20, 0, 0, 2, 0, 0, 0, 0, 0, 3], [0, 0, 0, 22, 3, 0, 3, 4, 0, 3, 0, 0], [0, 1, 0, 0, 27, 0, 1, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 11, 1, 0, 1, 0, 1, 18], [1, 0, 0, 4, 0, 0, 27, 1, 0, 0, 0, 0], [2, 0, 0, 3, 3, 0, 1, 21, 0, 2, 0, 0], [6, 0, 2, 0, 0, 2, 1, 2, 19, 0, 1, 1], [0, 0, 0, 7, 1, 0, 1, 7, 0, 17, 0, 0], [1, 0, 3, 1, 1, 1, 0, 2, 3, 3, 17, 1], [0, 2, 5, 0, 0, 10, 0, 0, 1, 0, 1, 12]]"
1,cricket_y,All-average_with_confidence,0.6153846153846154,"[[20, 0, 1, 0, 0, 3, 0, 2, 9, 0, 0, 2], [0, 29, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 3, 18, 0, 0, 2, 0, 1, 1, 1, 0, 3], [0, 0, 0, 22, 3, 0, 3, 4, 0, 3, 0, 0], [0, 1, 0, 0, 27, 0, 1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 12, 1, 0, 1, 0, 1, 18], [1, 0, 0, 4, 0, 0, 26, 1, 0, 1, 0, 0], [2, 0, 1, 3, 2, 0, 1, 20, 0, 3, 0, 0], [6, 0, 2, 0, 0, 2, 1, 2, 19, 0, 1, 1], [0, 0, 0, 7, 1, 0, 1, 7, 0, 17, 0, 0], [1, 0, 2, 2, 1, 1, 0, 2, 3, 3, 17, 1], [0, 1, 5, 0, 0, 10, 0, 0, 1, 0, 1, 13]]"
2,cricket_y,All-logistic_average,0.6205128205128205,"[[20, 0, 1, 0, 0, 3, 1, 2, 8, 0, 0, 2], [0, 29, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 4, 20, 0, 0, 2, 0, 0, 0, 0, 0, 3], [0, 0, 0, 22, 3, 0, 3, 4, 0, 3, 0, 0], [0, 1, 0, 0, 27, 0, 1, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 11, 1, 0, 1, 0, 1, 18], [1, 0, 0, 4, 0, 0, 27, 1, 0, 0, 0, 0], [2, 0, 0, 3, 3, 0, 1, 21, 0, 2, 0, 0], [6, 0, 2, 0, 0, 2, 1, 2, 19, 0, 1, 1], [0, 0, 0, 7, 1, 0, 1, 7, 0, 17, 0, 0], [1, 0, 3, 1, 1, 1, 0, 2, 3, 3, 17, 1], [0, 2, 5, 0, 0, 10, 0, 0, 1, 0, 1, 12]]"
3,cricket_y,All-logistic_average_with_confidence,0.6205128205128205,"[[20, 0, 1, 0, 0, 3, 0, 2, 9, 0, 0, 2], [0, 29, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 3, 20, 0, 0, 2, 0, 0, 0, 1, 0, 3], [0, 0, 0, 22, 3, 0, 3, 4, 0, 3, 0, 0], [0, 1, 0, 0, 27, 0, 1, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 11, 1, 0, 1, 0, 1, 18], [1, 0, 0, 4, 0, 0, 27, 1, 0, 0, 0, 0], [2, 0, 0, 3, 3, 0, 1, 21, 0, 2, 0, 0], [6, 0, 2, 0, 0, 2, 1, 2, 19, 0, 1, 1], [0, 0, 0, 7, 1, 0, 1, 7, 0, 17, 0, 0], [1, 0, 3, 1, 1, 1, 0, 2, 3, 3, 17, 1], [0, 2, 5, 0, 0, 10, 0, 0, 1, 0, 1, 12]]"
4,cricket_y,All-majority_vote,0.46923076923076923,"[[23, 6, 2, 0, 2, 1, 0, 1, 2, 0, 0, 0], [0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 18, 8, 0, 1, 0, 1, 0, 0, 0, 0, 1], [1, 1, 0, 28, 4, 0, 1, 0, 0, 0, 0, 0], [1, 0, 0, 0, 27, 0, 1, 0, 0, 0, 0, 0], [0, 6, 1, 0, 6, 6, 2, 0, 1, 0, 0, 11], [1, 0, 0, 8, 0, 0, 24, 0, 0, 0, 0, 0], [4, 6, 0, 9, 6, 0, 2, 5, 0, 0, 0, 0], [8, 7, 0, 0, 5, 0, 3, 0, 10, 0, 0, 1], [0, 2, 0, 18, 3, 0, 2, 0, 0, 8, 0, 0], [2, 11, 1, 0, 2, 3, 7, 0, 0, 0, 6, 1], [0, 13, 3, 0, 1, 6, 1, 0, 0, 0, 0, 7]]"
5,distal_phalanax_tw,All-average,0.6546762589928058,"[[10, 0, 6, 0, 0, 2], [2, 0, 17, 0, 0, 0], [0, 0, 39, 0, 0, 0], [0, 0, 13, 0, 0, 0], [0, 0, 5, 0, 0, 3], [0, 0, 0, 0, 0, 42]]"
6,distal_phalanax_tw,All-average_with_confidence,0.6690647482014388,"[[11, 0, 5, 0, 0, 2], [2, 3, 12, 2, 0, 0], [0, 3, 36, 0, 0, 0], [0, 0, 12, 1, 0, 0], [0, 0, 5, 0, 0, 3], [0, 0, 0, 0, 0, 42]]"
7,distal_phalanax_tw,All-logistic_average,0.6546762589928058,"[[10, 0, 6, 0, 0, 2], [2, 0, 17, 0, 0, 0], [0, 0, 39, 0, 0, 0], [0, 0, 13, 0, 0, 0], [0, 0, 5, 0, 0, 3], [0, 0, 0, 0, 0, 42]]"
8,distal_phalanax_tw,All-logistic_average_with_confidence,0.6618705035971223,"[[10, 0, 6, 0, 0, 2], [2, 1, 16, 0, 0, 0], [0, 0, 39, 0, 0, 0], [0, 0, 13, 0, 0, 0], [0, 0, 5, 0, 0, 3], [0, 0, 0, 0, 0, 42]]"
9,distal_phalanax_tw,All-majority_vote,0.6330935251798561,"[[6, 0, 9, 0, 0, 3], [1, 1, 17, 0, 0, 0], [0, 0, 39, 0, 0, 0], [0, 0, 13, 0, 0, 0], [0, 0, 5, 0, 0, 3], [0, 0, 0, 0, 0, 42]]"
10,egg_five_days,All-average,1.0,"[[14, 0], [0, 9]]"
11,egg_five_days,All-average_with_confidence,1.0,"[[14, 0], [0, 9]]"
12,egg_five_days,All-logistic_average,1.0,"[[14, 0], [0, 9]]"
13,egg_five_days,All-logistic_average_with_confidence,1.0,"[[14, 0], [0, 9]]"
14,egg_five_days,All-majority_vote,1.0,"[[14, 0], [0, 9]]"
15,electric_devices,All-average,0.44468940474646607,"[[0, 2, 0, 30, 548, 0, 87], [0, 1431, 0, 1, 359, 0, 165], [0, 0, 0, 6, 87, 0, 662], [0, 2, 0, 332, 779, 0, 52], [0, 213, 0, 20, 1519, 0, 117], [0, 0, 0, 34, 450, 0, 259], [0, 12, 0, 23, 374, 0, 147]]"
16,electric_devices,All-average_with_confidence,0.4432628712229283,"[[0, 3, 0, 39, 492, 0, 133], [0, 1403, 0, 0, 362, 0, 191], [0, 1, 0, 6, 126, 0, 622], [0, 4, 0, 380, 732, 0, 49], [0, 253, 0, 25, 1417, 0, 174], [0, 0, 0, 34, 378, 0, 331], [0, 13, 0, 29, 296, 0, 218]]"
17,electric_devices,All-logistic_average,0.4443003501491376,"[[0, 2, 0, 30, 551, 0, 84], [0, 1432, 0, 1, 361, 0, 162], [0, 0, 0, 6, 88, 0, 661], [0, 1, 0, 329, 783, 0, 52], [0, 212, 0, 20, 1521, 0, 116], [0, 0, 0, 34, 453, 0, 256], [0, 12, 0, 21, 379, 0, 144]]"
