,dataset_name,model_name,test_acc,confusion_matrix
0,cricket_y,All-average,0.617948717948718,"[[19, 0, 1, 0, 0, 3, 0, 1, 9, 2, 0, 2], [0, 29, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 3, 18, 0, 0, 2, 0, 1, 1, 1, 0, 3], [0, 0, 0, 21, 2, 0, 5, 3, 0, 4, 0, 0], [0, 1, 0, 0, 27, 0, 1, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 10, 1, 1, 1, 0, 1, 18], [1, 0, 0, 3, 0, 0, 27, 1, 0, 1, 0, 0], [2, 0, 0, 3, 3, 0, 1, 19, 0, 4, 0, 0], [8, 0, 2, 0, 0, 1, 1, 2, 18, 0, 1, 1], [0, 0, 0, 5, 1, 0, 1, 5, 1, 20, 0, 0], [1, 0, 3, 2, 0, 1, 1, 2, 3, 2, 17, 1], [0, 2, 3, 0, 0, 9, 0, 0, 1, 0, 0, 16]]"
1,cricket_y,All-average_with_confidence,0.6076923076923076,"[[17, 0, 1, 0, 0, 3, 0, 2, 10, 2, 0, 2], [0, 29, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 2, 18, 0, 1, 2, 0, 1, 1, 1, 0, 3], [0, 0, 0, 21, 3, 0, 4, 3, 0, 4, 0, 0], [0, 1, 0, 0, 27, 0, 1, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 10, 1, 1, 1, 0, 1, 18], [1, 0, 0, 3, 0, 0, 27, 1, 0, 1, 0, 0], [2, 0, 0, 3, 3, 0, 1, 19, 0, 4, 0, 0], [8, 0, 2, 0, 0, 1, 1, 3, 18, 0, 0, 1], [0, 0, 0, 5, 1, 0, 1, 6, 1, 19, 0, 0], [1, 0, 3, 2, 0, 1, 1, 2, 3, 2, 17, 1], [0, 2, 3, 0, 0, 9, 0, 0, 1, 0, 1, 15]]"
2,cricket_y,All-logistic_average,0.617948717948718,"[[19, 0, 1, 0, 0, 3, 0, 1, 9, 2, 0, 2], [0, 29, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 3, 18, 0, 0, 2, 0, 1, 1, 1, 0, 3], [0, 0, 0, 21, 2, 0, 5, 3, 0, 4, 0, 0], [0, 1, 0, 0, 27, 0, 1, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 10, 1, 1, 1, 0, 1, 18], [1, 0, 0, 3, 0, 0, 27, 1, 0, 1, 0, 0], [2, 0, 0, 3, 3, 0, 1, 19, 0, 4, 0, 0], [8, 0, 2, 0, 0, 1, 1, 2, 18, 0, 1, 1], [0, 0, 0, 5, 1, 0, 1, 5, 1, 20, 0, 0], [1, 0, 3, 2, 0, 1, 1, 2, 3, 2, 17, 1], [0, 2, 3, 0, 0, 9, 0, 0, 1, 0, 0, 16]]"
3,cricket_y,All-logistic_average_with_confidence,0.617948717948718,"[[19, 0, 1, 0, 0, 3, 0, 1, 9, 2, 0, 2], [0, 29, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 3, 18, 0, 0, 2, 0, 1, 1, 1, 0, 3], [0, 0, 0, 21, 2, 0, 5, 3, 0, 4, 0, 0], [0, 1, 0, 0, 27, 0, 1, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 10, 1, 1, 1, 0, 1, 18], [1, 0, 0, 3, 0, 0, 27, 1, 0, 1, 0, 0], [2, 0, 0, 3, 3, 0, 1, 19, 0, 4, 0, 0], [8, 0, 2, 0, 0, 1, 1, 2, 18, 0, 1, 1], [0, 0, 0, 5, 1, 0, 1, 5, 1, 20, 0, 0], [1, 0, 3, 2, 0, 1, 1, 2, 3, 2, 17, 1], [0, 2, 3, 0, 0, 9, 0, 0, 1, 0, 0, 16]]"
4,cricket_y,All-majority_vote,0.4564102564102564,"[[22, 6, 2, 1, 2, 0, 1, 1, 2, 0, 0, 0], [0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 18, 9, 0, 1, 0, 0, 0, 0, 0, 0, 1], [0, 1, 0, 27, 4, 0, 3, 0, 0, 0, 0, 0], [0, 1, 0, 0, 27, 0, 1, 0, 0, 0, 0, 0], [0, 8, 1, 0, 4, 4, 3, 0, 1, 0, 0, 12], [1, 0, 0, 6, 2, 0, 24, 0, 0, 0, 0, 0], [5, 6, 0, 9, 8, 0, 1, 3, 0, 0, 0, 0], [8, 6, 2, 0, 5, 0, 3, 0, 9, 0, 0, 1], [0, 1, 0, 19, 3, 1, 1, 0, 0, 8, 0, 0], [2, 10, 1, 1, 3, 2, 6, 0, 1, 0, 6, 1], [0, 11, 2, 0, 5, 4, 1, 0, 0, 0, 0, 8]]"
5,distal_phalanax_tw,All-average,0.6690647482014388,"[[12, 0, 5, 0, 0, 1], [1, 0, 18, 0, 0, 0], [0, 0, 39, 0, 0, 0], [0, 0, 13, 0, 0, 0], [0, 0, 5, 0, 0, 3], [0, 0, 0, 0, 0, 42]]"
6,distal_phalanax_tw,All-average_with_confidence,0.6762589928057554,"[[12, 1, 4, 0, 0, 1], [2, 3, 14, 0, 0, 0], [0, 2, 37, 0, 0, 0], [0, 0, 13, 0, 0, 0], [0, 0, 5, 0, 0, 3], [0, 0, 0, 0, 0, 42]]"
7,distal_phalanax_tw,All-logistic_average,0.6618705035971223,"[[11, 0, 5, 0, 0, 2], [1, 0, 18, 0, 0, 0], [0, 0, 39, 0, 0, 0], [0, 0, 13, 0, 0, 0], [0, 0, 5, 0, 0, 3], [0, 0, 0, 0, 0, 42]]"
8,distal_phalanax_tw,All-logistic_average_with_confidence,0.6690647482014388,"[[12, 1, 4, 0, 0, 1], [1, 0, 18, 0, 0, 0], [0, 0, 39, 0, 0, 0], [0, 0, 13, 0, 0, 0], [0, 0, 5, 0, 0, 3], [0, 0, 0, 0, 0, 42]]"
9,distal_phalanax_tw,All-majority_vote,0.6402877697841727,"[[8, 0, 8, 0, 0, 2], [0, 0, 19, 0, 0, 0], [0, 0, 39, 0, 0, 0], [0, 0, 13, 0, 0, 0], [0, 0, 5, 0, 0, 3], [0, 0, 0, 0, 0, 42]]"
