dataset_name,model_name,test_loss,test_acc,confusion_matrix,history
cbf,MLP,0.46791696548461914,0.8155555725097656,"[[292, 0, 8], [23, 275, 0], [135, 0, 167]]","{""loss"": [1.069398283958435, 1.071694016456604, 1.0019810199737549, 0.7909121513366699, 0.7631012797355652, 0.7371292114257812, 0.792604923248291, 0.6493667960166931, 0.631774365901947, 0.5885117650032043, 0.5358901023864746, 0.534811794757843, 0.5454350113868713, 0.46092283725738525, 0.42948850989341736, 0.5252417325973511, 0.35724198818206787, 0.38504207134246826, 0.4903125464916229, 0.3516376316547394, 0.38774141669273376, 0.38442468643188477, 0.294796347618103, 0.2898964285850525, 0.2747883200645447, 0.30157580971717834, 0.23018492758274078, 0.35300013422966003, 0.22546565532684326, 0.19485248625278473], ""accuracy"": [0.5416666865348816, 0.5, 0.5, 0.7083333134651184, 0.75, 0.7083333134651184, 0.75, 0.6666666865348816, 0.7916666865348816, 0.875, 0.9166666865348816, 0.9166666865348816, 0.8333333134651184, 0.9166666865348816, 0.9166666865348816, 0.8333333134651184, 0.9583333134651184, 0.9166666865348816, 0.75, 0.9166666865348816, 0.9166666865348816, 0.875, 0.9583333134651184, 0.9583333134651184, 0.9166666865348816, 0.9583333134651184, 0.9583333134651184, 0.875, 0.9583333134651184, 0.9583333134651184], ""val_loss"": [1.400194764137268, 1.3962949514389038, 1.250282883644104, 1.254098653793335, 1.306233525276184, 1.2174286842346191, 1.1573108434677124, 1.294559121131897, 1.0318185091018677, 1.1262608766555786, 1.2323063611984253, 1.1833441257476807, 1.1473325490951538, 1.0798743963241577, 1.078825831413269, 1.030035138130188, 1.1260018348693848, 1.349270224571228, 1.1149157285690308, 0.861707866191864, 0.8036729693412781, 0.9736344218254089, 0.9049413204193115, 0.9133730530738831, 0.9651506543159485, 0.9448496699333191, 0.9322171807289124, 1.0588105916976929, 1.0566829442977905, 0.8661912083625793], ""val_accuracy"": [0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.3333333432674408, 0.1666666716337204, 0.3333333432674408, 0.3333333432674408, 0.1666666716337204, 0.3333333432674408, 0.3333333432674408, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.5, 0.6666666865348816, 0.1666666716337204, 0.5, 0.3333333432674408, 0.1666666716337204, 0.1666666716337204, 0.3333333432674408, 0.3333333432674408, 0.1666666716337204, 0.3333333432674408]}"
cbf,MCDCNN,1.3032490015029907,0.27888888120651245,"[[225, 75, 0], [272, 26, 0], [255, 47, 0]]","{""loss"": [1.3670845031738281, 1.15641450881958, 1.110390543937683, 1.1174319982528687, 1.128846287727356, 1.0464571714401245, 1.140265703201294, 1.1176389455795288, 1.1669083833694458, 1.0222034454345703, 1.1363712549209595, 1.0337997674942017, 1.074992299079895, 1.0761466026306152, 1.0323213338851929, 1.0837337970733643, 1.1111637353897095, 1.0582786798477173, 1.02470862865448, 1.101380467414856, 1.0377689599990845, 1.089606523513794, 1.0486162900924683, 1.1269282102584839, 1.133649230003357, 1.0891586542129517, 1.123801589012146, 1.0681675672531128, 1.0993101596832275, 1.0861430168151855], ""accuracy"": [0.4583333432674408, 0.3333333432674408, 0.4166666567325592, 0.2916666567325592, 0.375, 0.4583333432674408, 0.375, 0.375, 0.4166666567325592, 0.4583333432674408, 0.4166666567325592, 0.4583333432674408, 0.375, 0.4166666567325592, 0.4583333432674408, 0.3333333432674408, 0.375, 0.4583333432674408, 0.5, 0.4166666567325592, 0.4583333432674408, 0.375, 0.4583333432674408, 0.3333333432674408, 0.3333333432674408, 0.375, 0.2916666567325592, 0.375, 0.375, 0.375], ""val_loss"": [1.0156947374343872, 1.7396472692489624, 1.4159685373306274, 1.415305256843567, 1.5557674169540405, 1.8438726663589478, 1.7446123361587524, 1.9951823949813843, 1.5398558378219604, 1.7497860193252563, 1.5050092935562134, 1.2895969152450562, 1.6314457654953003, 1.4867849349975586, 1.3101305961608887, 1.381198525428772, 1.6967073678970337, 1.2381702661514282, 1.8400527238845825, 1.3403970003128052, 1.5756014585494995, 1.6917473077774048, 1.474265456199646, 1.7603689432144165, 1.1243613958358765, 1.637870192527771, 1.7617274522781372, 1.9046732187271118, 1.8109197616577148, 1.8012017011642456], ""val_accuracy"": [0.6666666865348816, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204]}"
gun_point_male_female,MLP,nan,0.5253164768218994,"[[166, 0], [150, 0]]","{""loss"": [NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN], ""accuracy"": [0.6388888955116272, 0.6574074029922485, 0.6574074029922485, 0.6574074029922485, 0.6574074029922485, 0.6574074029922485, 0.6574074029922485, 0.6574074029922485, 0.6574074029922485, 0.6574074029922485, 0.6574074029922485, 0.6574074029922485, 0.6574074029922485, 0.6574074029922485, 0.6574074029922485, 0.6574074029922485, 0.6574074029922485, 0.6574074029922485, 0.6574074029922485, 0.6574074029922485, 0.6574074029922485, 0.6574074029922485, 0.6574074029922485, 0.6574074029922485, 0.6574074029922485, 0.6574074029922485, 0.6574074029922485, 0.6574074029922485, 0.6574074029922485, 0.6574074029922485], ""val_loss"": [NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN], ""val_accuracy"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}"
gun_point_male_female,MCDCNN,0.7959280014038086,0.5253164768218994,"[[166, 0], [150, 0]]","{""loss"": [0.6291583776473999, 0.7013848423957825, 0.6692214608192444, 0.680274486541748, 0.6748719811439514, 0.75169837474823, 0.7176988124847412, 0.7208157181739807, 0.7004141807556152, 0.6205055117607117, 0.6830928325653076, 0.6963562965393066, 0.6766137480735779, 0.684384286403656, 0.7081285119056702, 0.7115320563316345, 0.668022096157074, 0.6934672594070435, 0.6779738068580627, 0.6986740231513977, 0.6677272319793701, 0.6631863713264465, 0.6651670932769775, 0.6654314398765564, 0.7182778716087341, 0.696922242641449, 0.7011162638664246, 0.7272887229919434, 0.6534243822097778, 0.7092053294181824], ""accuracy"": [0.6203703880310059, 0.6203703880310059, 0.6203703880310059, 0.6203703880310059, 0.5648148059844971, 0.6018518805503845, 0.6203703880310059, 0.5833333134651184, 0.6388888955116272, 0.6759259104728699, 0.6203703880310059, 0.6203703880310059, 0.6574074029922485, 0.6018518805503845, 0.6203703880310059, 0.5648148059844971, 0.6574074029922485, 0.5648148059844971, 0.6574074029922485, 0.6203703880310059, 0.6203703880310059, 0.6018518805503845, 0.6018518805503845, 0.6203703880310059, 0.6018518805503845, 0.6203703880310059, 0.6388888955116272, 0.5648148059844971, 0.6388888955116272, 0.5648148059844971], ""val_loss"": [1.8933601379394531, 0.7914398312568665, 0.9825766682624817, 1.0200296640396118, 0.8313260674476624, 0.7147936224937439, 0.32876721024513245, 1.3017743825912476, 0.960023820400238, 1.4635409116744995, 0.9902351498603821, 1.0232216119766235, 1.5371652841567993, 1.301515817642212, 1.010022521018982, 0.9565973877906799, 1.674407958984375, 0.7013596296310425, 1.0260289907455444, 1.0350779294967651, 1.4420397281646729, 0.6929302215576172, 0.9911036491394043, 0.9942417740821838, 1.2891477346420288, 1.039169192314148, 0.4261850118637085, 1.0871033668518066, 1.2871979475021362, 1.341428279876709], ""val_accuracy"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9259259104728699, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]}"
car,MLP,0.9084431529045105,0.7333333492279053,"[[14, 0, 0, 0], [1, 12, 0, 1], [3, 0, 10, 6], [2, 0, 3, 8]]","{""loss"": [1.4332622289657593, 1.4545296430587769, 1.4572488069534302, 1.3144787549972534, 1.3394867181777954, 1.3369312286376953, 1.1583983898162842, 1.0829355716705322, 1.2775286436080933, 1.1472628116607666, 1.1867717504501343, 1.1035887002944946, 1.1091638803482056, 1.1875673532485962, 1.106164574623108, 1.1023777723312378, 1.1143547296524048, 0.9270121455192566, 1.0218983888626099, 0.9466097950935364, 1.002809762954712, 0.99941486120224, 1.024387240409851, 1.0133005380630493, 0.9702487587928772, 1.0575624704360962, 0.8975620269775391, 1.0241955518722534, 0.9276084899902344, 0.8201189637184143], ""accuracy"": [0.2708333432674408, 0.2708333432674408, 0.3125, 0.4375, 0.4166666567325592, 0.3125, 0.6041666865348816, 0.5, 0.3333333432674408, 0.5416666865348816, 0.4166666567325592, 0.5208333134651184, 0.4375, 0.4583333432674408, 0.5208333134651184, 0.4583333432674408, 0.4791666567325592, 0.6666666865348816, 0.5, 0.625, 0.5833333134651184, 0.5, 0.5833333134651184, 0.625, 0.625, 0.4583333432674408, 0.6458333134651184, 0.5208333134651184, 0.6041666865348816, 0.6875], ""val_loss"": [1.4393705129623413, 1.1161364316940308, 1.1810898780822754, 0.9920790791511536, 1.0305455923080444, 0.920558750629425, 0.8834440112113953, 0.8478326201438904, 0.8843623995780945, 0.7941977977752686, 0.7513129115104675, 0.9091938138008118, 0.7556865811347961, 0.7923372387886047, 0.696675717830658, 0.7185940146446228, 0.7223248481750488, 0.7017638087272644, 0.7202010750770569, 0.6585198044776917, 0.7373199462890625, 0.836611270904541, 0.5999597311019897, 0.692039966583252, 0.769565999507904, 0.5846205353736877, 0.6557571887969971, 0.5666503310203552, 0.6243650317192078, 0.5559567809104919], ""val_accuracy"": [0.3333333432674408, 0.5833333134651184, 0.4166666567325592, 0.5833333134651184, 0.4166666567325592, 0.6666666865348816, 0.75, 0.75, 0.8333333134651184, 0.6666666865348816, 0.75, 0.5, 0.75, 0.6666666865348816, 0.8333333134651184, 0.8333333134651184, 0.75, 0.75, 0.9166666865348816, 0.8333333134651184, 0.8333333134651184, 0.6666666865348816, 0.8333333134651184, 0.75, 0.75, 0.75, 0.75, 0.8333333134651184, 0.75, 0.8333333134651184]}"
car,MCDCNN,1.5002261400222778,0.21666666865348816,"[[0, 0, 0, 14], [0, 0, 0, 14], [0, 0, 0, 19], [0, 0, 0, 13]]","{""loss"": [1.5275450944900513, 1.4849931001663208, 1.4546602964401245, 1.4092108011245728, 1.4377317428588867, 1.4720196723937988, 1.4311643838882446, 1.438288688659668, 1.439374327659607, 1.4724229574203491, 1.4735851287841797, 1.4453595876693726, 1.4371196031570435, 1.4518694877624512, 1.4701489210128784, 1.4429469108581543, 1.4502977132797241, 1.4440245628356934, 1.4057375192642212, 1.4325822591781616, 1.4341520071029663, 1.4491320848464966, 1.4340680837631226, 1.4322432279586792, 1.4516350030899048, 1.4400752782821655, 1.5034565925598145, 1.434704303741455, 1.4253383874893188, 1.4592951536178589], ""accuracy"": [0.25, 0.25, 0.3125, 0.25, 0.2291666716337204, 0.2291666716337204, 0.2916666567325592, 0.25, 0.1666666716337204, 0.1875, 0.2708333432674408, 0.2708333432674408, 0.2291666716337204, 0.2291666716337204, 0.2291666716337204, 0.2083333283662796, 0.2291666716337204, 0.1666666716337204, 0.2291666716337204, 0.2291666716337204, 0.25, 0.25, 0.2708333432674408, 0.2083333283662796, 0.25, 0.3125, 0.1875, 0.2916666567325592, 0.2083333283662796, 0.1875], ""val_loss"": [1.4663763046264648, 1.4098314046859741, 1.4618453979492188, 1.4571462869644165, 1.4025870561599731, 1.4684070348739624, 1.390878677368164, 1.4044469594955444, 1.4640792608261108, 1.6521891355514526, 1.4559073448181152, 1.403546690940857, 1.4497298002243042, 1.4721373319625854, 1.4673012495040894, 1.4227622747421265, 1.4300559759140015, 1.4165936708450317, 1.3961796760559082, 1.5603832006454468, 1.4338399171829224, 1.4820762872695923, 1.3875943422317505, 1.4758294820785522, 1.3853627443313599, 1.375674843788147, 1.5156461000442505, 1.482269287109375, 1.4168357849121094, 1.5157357454299927], ""val_accuracy"": [0.25, 0.25, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.3333333432674408, 0.1666666716337204, 0.3333333432674408, 0.1666666716337204, 0.25, 0.25, 0.25, 0.25, 0.25, 0.1666666716337204, 0.25, 0.3333333432674408, 0.3333333432674408, 0.1666666716337204, 0.25, 0.25, 0.25, 0.1666666716337204, 0.3333333432674408, 0.25, 0.25, 0.1666666716337204, 0.25, 0.25]}"
abnormal_heartbeat,MLP,0.7981244325637817,0.7317073345184326,"[[150, 0], [55, 0]]","{""loss"": [0.6286429166793823, 0.5402581691741943, 0.463039755821228, 0.41446778178215027, 0.3788077235221863, 0.3520549237728119, 0.3318146765232086, 0.3115682601928711, 0.30083635449409485, 0.28602510690689087, 0.28577324748039246, 0.2794669270515442, 0.26741230487823486, 0.2616548538208008, 0.2503856420516968, 0.24752402305603027, 0.24646157026290894, 0.241726815700531, 0.24523523449897766, 0.23549970984458923, 0.23051251471042633, 0.22785814106464386, 0.22226738929748535, 0.21745850145816803, 0.2089443951845169, 0.2110397070646286, 0.19739782810211182, 0.19949349761009216, 0.1908866912126541, 0.1845729947090149], ""accuracy"": [0.8527607321739197, 0.9141104221343994, 0.9141104221343994, 0.9141104221343994, 0.9141104221343994, 0.9141104221343994, 0.9141104221343994, 0.9141104221343994, 0.9141104221343994, 0.9141104221343994, 0.9141104221343994, 0.9141104221343994, 0.9141104221343994, 0.9141104221343994, 0.9141104221343994, 0.9141104221343994, 0.9141104221343994, 0.9141104221343994, 0.9141104221343994, 0.9141104221343994, 0.9141104221343994, 0.9141104221343994, 0.9141104221343994, 0.9141104221343994, 0.9202454090118408, 0.9141104221343994, 0.9202454090118408, 0.9141104221343994, 0.9202454090118408, 0.9202454090118408], ""val_loss"": [0.8838984966278076, 1.0480414628982544, 1.2110276222229004, 1.3772706985473633, 1.5210285186767578, 1.6600022315979004, 1.7741948366165161, 1.892781138420105, 1.9915019273757935, 2.0654191970825195, 2.1451311111450195, 2.2052500247955322, 2.263322353363037, 2.33150315284729, 2.368732213973999, 2.443626642227173, 2.492825508117676, 2.5131163597106934, 2.5494260787963867, 2.5992205142974854, 2.6120362281799316, 2.6500325202941895, 2.659019947052002, 2.6816282272338867, 2.707993745803833, 2.7275984287261963, 2.6854093074798584, 2.6913561820983887, 2.7107717990875244, 2.7072629928588867], ""val_accuracy"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}"
abnormal_heartbeat,MCDCNN,0.7640542984008789,0.7317073345184326,"[[150, 0], [55, 0]]","{""loss"": [0.4619694948196411, 0.43538254499435425, 0.4179266691207886, 0.35450565814971924, 0.3437923491001129, 0.3509906530380249, 0.31207746267318726, 0.2985750138759613, 0.3295689821243286, 0.3716285526752472, 0.38049373030662537, 0.3579012453556061, 0.3307966887950897, 0.2922285795211792, 0.3246411979198456, 0.35575196146965027, 0.31961914896965027, 0.3253960907459259, 0.3351648151874542, 0.3252541124820709, 0.31392040848731995, 0.3175642192363739, 0.3350563645362854, 0.3087998032569885, 0.3084697425365448, 0.3227008879184723, 0.3013148903846741, 0.3396736681461334, 0.320334255695343, 0.31298142671585083], ""accuracy"": [0.8527607321739197, 0.9141104221343994, 0.8650306463241577, 0.8650306463241577, 0.9141104221343994, 0.9141104221343994, 0.9141104221343994, 0.9141104221343994, 0.9141104221343994, 0.8650306463241577, 0.9141104221343994, 0.9141104221343994, 0.9141104221343994, 0.9141104221343994, 0.9141104221343994, 0.9141104221343994, 0.9141104221343994, 0.9141104221343994, 0.9141104221343994, 0.9141104221343994, 0.9141104221343994, 0.9141104221343994, 0.9141104221343994, 0.9141104221343994, 0.9141104221343994, 0.9141104221343994, 0.9141104221343994, 0.9141104221343994, 0.9141104221343994, 0.9141104221343994], ""val_loss"": [3.3327033519744873, 3.8898301124572754, 3.2742702960968018, 3.8270955085754395, 4.1160807609558105, 3.135870933532715, 3.1084377765655518, 1.566372036933899, 3.372490167617798, 1.0717922449111938, 2.743607521057129, 3.1775331497192383, 1.7479394674301147, 3.6237804889678955, 2.6799049377441406, 1.064745306968689, 3.2810237407684326, 2.8883349895477295, 3.100008487701416, 3.101128578186035, 2.738560438156128, 1.5716379880905151, 2.422229766845703, 3.35506534576416, 2.3692493438720703, 2.4266796112060547, 2.5799508094787598, 2.9500207901000977, 1.7096140384674072, 2.6476049423217773], ""val_accuracy"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}"
distal_phalanax_tw,MLP,0.9415948390960693,0.633093535900116,"[[7, 0, 7, 0, 0, 4], [2, 0, 17, 0, 0, 0], [0, 0, 39, 0, 0, 0], [0, 0, 13, 0, 0, 0], [0, 0, 5, 0, 0, 3], [0, 0, 0, 0, 0, 42]]","{""loss"": [1.2873809337615967, 1.0711162090301514, 0.9322080612182617, 0.8219599723815918, 0.815106987953186, 0.8001648783683777, 0.766703188419342, 0.6981210708618164, 0.747933566570282, 0.7331308722496033, 0.7270572781562805, 0.722687304019928, 0.7170580625534058, 0.6798176765441895, 0.6763818860054016, 0.6481919288635254, 0.6738197207450867, 0.702143132686615, 0.6597915887832642, 0.6580623984336853, 0.6734806299209595, 0.6476187705993652, 0.6303356885910034, 0.6665257215499878, 0.6286613345146179, 0.6390358209609985, 0.6156626343727112, 0.6405892968177795, 0.6309757828712463, 0.6296735405921936], ""accuracy"": [0.546875, 0.6499999761581421, 0.71875, 0.7437499761581421, 0.734375, 0.7437499761581421, 0.737500011920929, 0.753125011920929, 0.737500011920929, 0.753125011920929, 0.731249988079071, 0.778124988079071, 0.746874988079071, 0.762499988079071, 0.768750011920929, 0.7749999761581421, 0.75, 0.7718750238418579, 0.7749999761581421, 0.778124988079071, 0.768750011920929, 0.784375011920929, 0.78125, 0.778124988079071, 0.768750011920929, 0.7718750238418579, 0.768750011920929, 0.7749999761581421, 0.784375011920929, 0.784375011920929], ""val_loss"": [1.230383276939392, 1.0338752269744873, 0.9433228373527527, 0.9251004457473755, 0.8556349873542786, 0.8498885035514832, 0.8171054124832153, 0.8253486752510071, 0.8183302879333496, 0.7984758615493774, 0.7880326509475708, 0.7873660326004028, 0.7767871022224426, 0.7567509412765503, 0.7649745941162109, 0.7442222833633423, 0.7726473808288574, 0.7267130613327026, 0.728965163230896, 0.7442830801010132, 0.7166554927825928, 0.7217363119125366, 0.6997599601745605, 0.7235690355300903, 0.7189182639122009, 0.7059005498886108, 0.7158536911010742, 0.6683942079544067, 0.6888641119003296, 0.7033429145812988], ""val_accuracy"": [0.625, 0.675000011920929, 0.675000011920929, 0.675000011920929, 0.675000011920929, 0.675000011920929, 0.675000011920929, 0.675000011920929, 0.6875, 0.6875, 0.6875, 0.6875, 0.7124999761581421, 0.7124999761581421, 0.7124999761581421, 0.75, 0.7250000238418579, 0.762499988079071, 0.75, 0.7124999761581421, 0.75, 0.7250000238418579, 0.75, 0.737500011920929, 0.75, 0.75, 0.75, 0.762499988079071, 0.762499988079071, 0.75]}"
distal_phalanax_tw,MCDCNN,1.8543213605880737,0.30215826630592346,"[[0, 0, 0, 0, 0, 18], [0, 0, 0, 0, 0, 19], [0, 0, 0, 0, 0, 39], [0, 0, 0, 0, 0, 13], [0, 0, 0, 0, 0, 8], [0, 0, 0, 0, 0, 42]]","{""loss"": [1.4182904958724976, 1.3957911729812622, 1.3788903951644897, 1.3796818256378174, 1.4242278337478638, 1.3946683406829834, 1.3968157768249512, 1.3672138452529907, 1.3972375392913818, 1.399861216545105, 1.3917776346206665, 1.3949897289276123, 1.3904392719268799, 1.4078924655914307, 1.3805232048034668, 1.4027252197265625, 1.406036138534546, 1.366280198097229, 1.379044771194458, 1.385171890258789, 1.397748589515686, 1.3956842422485352, 1.3869599103927612, 1.379372239112854, 1.4014946222305298, 1.3794732093811035, 1.3726141452789307, 1.3726096153259277, 1.3720701932907104, 1.41387140750885], ""accuracy"": [0.5093749761581421, 0.5249999761581421, 0.546875, 0.528124988079071, 0.534375011920929, 0.546875, 0.550000011920929, 0.546875, 0.53125, 0.5218750238418579, 0.546875, 0.5375000238418579, 0.546875, 0.5406249761581421, 0.546875, 0.5093749761581421, 0.49687498807907104, 0.53125, 0.5218750238418579, 0.528124988079071, 0.528124988079071, 0.5218750238418579, 0.546875, 0.546875, 0.5, 0.53125, 0.5406249761581421, 0.546875, 0.5375000238418579, 0.528124988079071], ""val_loss"": [1.4996999502182007, 1.5860238075256348, 1.5941944122314453, 1.5338608026504517, 1.5176879167556763, 1.5399551391601562, 1.5078098773956299, 1.5876638889312744, 1.5253305435180664, 1.5354483127593994, 1.546343207359314, 1.4996801614761353, 1.5702260732650757, 1.508255124092102, 1.5168406963348389, 1.542846441268921, 1.5129938125610352, 1.5056084394454956, 1.528400182723999, 1.5978692770004272, 1.5262202024459839, 1.529160737991333, 1.5846052169799805, 1.629309058189392, 1.5942764282226562, 1.51689875125885, 1.5835422277450562, 1.5341298580169678, 1.5692087411880493, 1.5262507200241089], ""val_accuracy"": [0.4749999940395355, 0.4749999940395355, 0.4749999940395355, 0.4749999940395355, 0.4749999940395355, 0.4749999940395355, 0.4749999940395355, 0.4749999940395355, 0.4749999940395355, 0.4749999940395355, 0.4749999940395355, 0.4749999940395355, 0.4749999940395355, 0.4749999940395355, 0.4749999940395355, 0.4749999940395355, 0.4749999940395355, 0.4749999940395355, 0.4749999940395355, 0.20000000298023224, 0.4749999940395355, 0.4749999940395355, 0.4749999940395355, 0.4749999940395355, 0.4749999940395355, 0.4749999940395355, 0.4749999940395355, 0.4749999940395355, 0.4749999940395355, 0.4749999940395355]}"
