,dataset_name,model_name,test_acc,confusion_matrix
0,cricket_y,All-average,0.7205128205128205,"[[20, 0, 1, 0, 0, 1, 0, 0, 15, 0, 0, 0], [0, 26, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 2, 23, 0, 0, 2, 0, 0, 0, 0, 0, 2], [0, 0, 0, 26, 0, 0, 1, 5, 0, 3, 0, 0], [0, 0, 0, 0, 24, 2, 0, 0, 2, 0, 0, 1], [0, 0, 0, 0, 0, 22, 0, 2, 0, 1, 0, 8], [1, 0, 0, 0, 0, 0, 31, 1, 0, 0, 0, 0], [1, 0, 0, 2, 0, 0, 0, 24, 2, 3, 0, 0], [4, 0, 1, 0, 0, 1, 1, 3, 23, 0, 0, 1], [0, 0, 0, 1, 0, 0, 1, 10, 0, 21, 0, 0], [0, 0, 1, 0, 0, 1, 0, 2, 0, 0, 28, 1], [1, 0, 0, 0, 0, 16, 0, 0, 1, 0, 0, 13]]"
1,cricket_y,All-average_with_confidence,0.7153846153846154,"[[20, 0, 2, 0, 0, 2, 0, 0, 12, 0, 0, 1], [0, 27, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0], [0, 3, 23, 0, 0, 0, 0, 0, 0, 0, 1, 2], [0, 0, 0, 27, 3, 0, 2, 2, 0, 1, 0, 0], [0, 0, 0, 0, 27, 0, 0, 0, 1, 0, 0, 1], [0, 1, 0, 0, 0, 21, 0, 2, 0, 1, 0, 8], [1, 0, 0, 0, 0, 0, 31, 1, 0, 0, 0, 0], [0, 0, 0, 3, 0, 1, 0, 19, 3, 6, 0, 0], [5, 0, 1, 0, 1, 3, 1, 1, 21, 0, 0, 1], [0, 0, 1, 3, 0, 0, 1, 9, 0, 19, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 1], [1, 0, 0, 0, 0, 17, 0, 0, 1, 0, 0, 12]]"
2,cricket_y,All-logistic_average,0.7205128205128205,"[[20, 0, 1, 0, 0, 1, 0, 0, 15, 0, 0, 0], [0, 26, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 2, 23, 0, 0, 2, 0, 0, 0, 0, 0, 2], [0, 0, 0, 26, 0, 0, 1, 5, 0, 3, 0, 0], [0, 0, 0, 0, 24, 2, 0, 0, 2, 0, 0, 1], [0, 0, 0, 0, 0, 22, 0, 2, 0, 1, 0, 8], [1, 0, 0, 0, 0, 0, 31, 1, 0, 0, 0, 0], [1, 0, 0, 2, 0, 0, 0, 24, 2, 3, 0, 0], [4, 0, 1, 0, 0, 1, 1, 3, 23, 0, 0, 1], [0, 0, 0, 1, 0, 0, 1, 10, 0, 21, 0, 0], [0, 0, 1, 0, 0, 1, 0, 2, 0, 0, 28, 1], [1, 0, 0, 0, 0, 16, 0, 0, 1, 0, 0, 13]]"
3,cricket_y,All-logistic_average_with_confidence,0.7205128205128205,"[[20, 0, 1, 0, 0, 1, 0, 0, 15, 0, 0, 0], [0, 26, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 2, 24, 0, 0, 2, 0, 0, 0, 0, 0, 1], [0, 0, 0, 26, 0, 0, 1, 5, 0, 3, 0, 0], [0, 0, 0, 0, 24, 2, 0, 0, 2, 0, 0, 1], [0, 0, 0, 0, 0, 22, 0, 2, 0, 1, 0, 8], [1, 0, 0, 0, 0, 0, 31, 1, 0, 0, 0, 0], [1, 0, 0, 2, 0, 0, 0, 24, 2, 3, 0, 0], [4, 0, 1, 0, 0, 1, 1, 3, 23, 0, 0, 1], [0, 0, 0, 1, 0, 0, 1, 10, 0, 21, 0, 0], [0, 0, 1, 0, 0, 1, 0, 2, 0, 0, 28, 1], [1, 0, 0, 0, 0, 17, 0, 0, 1, 0, 0, 12]]"
4,cricket_y,All-majority_vote,0.7025641025641025,"[[18, 0, 1, 0, 0, 1, 0, 1, 16, 0, 0, 0], [0, 26, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 3, 24, 0, 0, 1, 0, 0, 0, 0, 0, 1], [0, 0, 0, 25, 0, 0, 1, 8, 0, 1, 0, 0], [0, 0, 0, 0, 24, 2, 0, 0, 2, 0, 0, 1], [0, 0, 0, 0, 0, 20, 0, 3, 0, 1, 0, 9], [0, 0, 0, 1, 0, 0, 31, 1, 0, 0, 0, 0], [1, 0, 0, 2, 0, 0, 0, 26, 2, 1, 0, 0], [4, 0, 1, 0, 0, 1, 1, 3, 23, 0, 0, 1], [0, 0, 0, 1, 0, 0, 1, 14, 0, 17, 0, 0], [0, 0, 1, 0, 0, 1, 0, 2, 0, 0, 28, 1], [1, 0, 0, 0, 0, 17, 0, 0, 1, 0, 0, 12]]"
5,cricket_y,MLP10-average,0.5974358974358974,"[[19, 0, 3, 0, 0, 3, 0, 2, 10, 0, 0, 0], [0, 26, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 4, 20, 0, 0, 0, 0, 1, 0, 0, 0, 4], [0, 0, 0, 29, 0, 0, 1, 4, 0, 1, 0, 0], [2, 0, 0, 0, 16, 1, 0, 2, 6, 0, 0, 2], [0, 0, 0, 0, 0, 19, 0, 1, 0, 1, 1, 11], [2, 0, 0, 7, 0, 0, 17, 7, 0, 0, 0, 0], [1, 0, 0, 3, 1, 0, 1, 17, 3, 5, 0, 1], [5, 0, 1, 0, 0, 1, 1, 3, 20, 1, 1, 1], [0, 0, 0, 7, 0, 0, 1, 8, 0, 16, 0, 1], [1, 0, 1, 1, 0, 2, 0, 3, 3, 0, 20, 2], [1, 1, 1, 0, 0, 14, 0, 0, 0, 0, 0, 14]]"
6,cricket_y,MLP10-average_with_confidence,0.5948717948717949,"[[17, 0, 3, 0, 0, 3, 0, 2, 11, 0, 0, 1], [0, 26, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 5, 20, 0, 0, 0, 0, 1, 0, 0, 0, 3], [0, 0, 0, 29, 0, 0, 1, 4, 0, 1, 0, 0], [1, 1, 0, 0, 20, 1, 0, 1, 4, 0, 0, 1], [0, 2, 0, 0, 1, 18, 0, 1, 0, 1, 0, 10], [3, 0, 0, 7, 0, 0, 17, 6, 0, 0, 0, 0], [3, 1, 0, 3, 0, 0, 1, 12, 6, 5, 0, 1], [4, 1, 1, 0, 0, 1, 1, 4, 20, 1, 0, 1], [0, 0, 0, 5, 0, 0, 1, 8, 0, 18, 1, 0], [2, 0, 1, 1, 0, 2, 0, 2, 3, 0, 21, 1], [1, 4, 0, 0, 0, 12, 0, 0, 0, 0, 0, 14]]"
7,cricket_y,MLP10-logistic_average,0.5974358974358974,"[[19, 0, 3, 0, 0, 3, 0, 2, 10, 0, 0, 0], [0, 26, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 4, 20, 0, 0, 0, 0, 1, 0, 0, 0, 4], [0, 0, 0, 29, 0, 0, 1, 4, 0, 1, 0, 0], [2, 0, 0, 0, 16, 1, 0, 2, 6, 0, 0, 2], [0, 0, 0, 0, 0, 19, 0, 1, 0, 1, 1, 11], [2, 0, 0, 7, 0, 0, 17, 7, 0, 0, 0, 0], [1, 0, 0, 3, 1, 0, 1, 17, 3, 5, 0, 1], [5, 0, 1, 0, 0, 1, 1, 3, 20, 1, 1, 1], [0, 0, 0, 7, 0, 0, 1, 8, 0, 16, 0, 1], [1, 0, 1, 1, 0, 2, 0, 3, 3, 0, 20, 2], [1, 1, 1, 0, 0, 14, 0, 0, 0, 0, 0, 14]]"
8,cricket_y,MLP10-logistic_average_with_confidence,0.5974358974358974,"[[19, 0, 3, 0, 0, 3, 0, 2, 10, 0, 0, 0], [0, 26, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 4, 20, 0, 0, 0, 0, 1, 0, 0, 0, 4], [0, 0, 0, 29, 0, 0, 1, 4, 0, 1, 0, 0], [2, 0, 0, 0, 17, 1, 0, 2, 5, 0, 0, 2], [0, 0, 0, 0, 0, 19, 0, 1, 0, 1, 1, 11], [2, 0, 0, 7, 0, 0, 17, 7, 0, 0, 0, 0], [1, 0, 0, 3, 1, 0, 1, 16, 3, 6, 0, 1], [5, 0, 1, 0, 0, 1, 1, 3, 20, 1, 1, 1], [0, 0, 0, 7, 0, 0, 1, 8, 0, 16, 0, 1], [1, 0, 1, 1, 0, 2, 0, 3, 3, 0, 20, 2], [1, 1, 1, 0, 0, 14, 0, 0, 0, 0, 0, 14]]"
9,cricket_y,MLP10-majority_vote,0.6025641025641025,"[[20, 1, 3, 0, 2, 1, 0, 2, 8, 0, 0, 0], [0, 26, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 4, 20, 0, 0, 0, 0, 1, 0, 0, 0, 4], [0, 0, 0, 29, 0, 0, 1, 4, 0, 1, 0, 0], [3, 0, 0, 0, 17, 1, 0, 1, 5, 0, 0, 2], [0, 0, 0, 0, 0, 18, 0, 2, 0, 1, 0, 12], [2, 0, 0, 8, 0, 0, 17, 6, 0, 0, 0, 0], [2, 0, 0, 3, 1, 0, 1, 16, 3, 5, 0, 1], [5, 0, 1, 0, 0, 1, 1, 3, 21, 1, 0, 1], [0, 0, 0, 6, 0, 0, 2, 7, 0, 17, 0, 1], [1, 0, 1, 1, 0, 2, 0, 3, 3, 0, 20, 2], [1, 2, 0, 0, 0, 14, 0, 0, 0, 0, 0, 14]]"
