classifier_name,dataset_name,accuracy
All-average,cricket_y,0.7205128205128205
All-average,distal_phalanax_tw,0.697841726618705
All-average,egg_five_days,1.0
All-average,face_ucr,0.9390243902439024
All-average,fifty_words,0.7692307692307693
All-average,mote_strain,0.9
All-average,power_cons,0.9888888888888889
All-average,sony_robot,0.95
All-average,synthetic_control,0.9766666666666667
All-average_with_confidence,cricket_y,0.7153846153846154
All-average_with_confidence,distal_phalanax_tw,0.6834532374100719
All-average_with_confidence,egg_five_days,1.0
All-average_with_confidence,face_ucr,0.9331707317073171
All-average_with_confidence,fifty_words,0.7252747252747253
All-average_with_confidence,mote_strain,0.9
All-average_with_confidence,power_cons,0.9888888888888889
All-average_with_confidence,sony_robot,0.95
All-average_with_confidence,synthetic_control,0.9666666666666667
All-logistic_average,cricket_y,0.7205128205128205
All-logistic_average,distal_phalanax_tw,0.697841726618705
All-logistic_average,egg_five_days,1.0
All-logistic_average,face_ucr,0.9385365853658536
All-logistic_average,fifty_words,0.7714285714285715
All-logistic_average,mote_strain,0.9
All-logistic_average,power_cons,0.9888888888888889
All-logistic_average,sony_robot,0.95
All-logistic_average,synthetic_control,0.9766666666666667
All-logistic_average_with_confidence,cricket_y,0.7205128205128205
All-logistic_average_with_confidence,distal_phalanax_tw,0.697841726618705
All-logistic_average_with_confidence,egg_five_days,1.0
All-logistic_average_with_confidence,face_ucr,0.94
All-logistic_average_with_confidence,fifty_words,0.7626373626373626
All-logistic_average_with_confidence,mote_strain,0.9
All-logistic_average_with_confidence,power_cons,0.9888888888888889
All-logistic_average_with_confidence,sony_robot,0.95
All-logistic_average_with_confidence,synthetic_control,0.9766666666666667
All-majority_vote,cricket_y,0.7025641025641025
All-majority_vote,distal_phalanax_tw,0.6906474820143885
All-majority_vote,egg_five_days,1.0
All-majority_vote,face_ucr,0.9385365853658536
All-majority_vote,fifty_words,0.7384615384615385
All-majority_vote,mote_strain,0.9
All-majority_vote,power_cons,0.9833333333333333
All-majority_vote,sony_robot,0.95
All-majority_vote,synthetic_control,0.98
