classifier_name,dataset_name,accuracy
Best3-average,cricket_y,0.7230769230769231
Best3-average,distal_phalanax_tw,0.6834532374100719
Best3-average,egg_five_days,1.0
Best3-average,face_ucr,0.9346341463414635
Best3-average,fifty_words,0.7626373626373626
Best3-average,mote_strain,0.9
Best3-average,power_cons,0.9833333333333333
Best3-average,sony_robot,0.95
Best3-average,synthetic_control,0.9866666666666667
Best3-average_with_confidence,cricket_y,0.7025641025641025
Best3-average_with_confidence,distal_phalanax_tw,0.6690647482014388
Best3-average_with_confidence,egg_five_days,1.0
Best3-average_with_confidence,face_ucr,0.9278048780487805
Best3-average_with_confidence,fifty_words,0.7274725274725274
Best3-average_with_confidence,mote_strain,0.9
Best3-average_with_confidence,power_cons,0.9833333333333333
Best3-average_with_confidence,sony_robot,0.95
Best3-average_with_confidence,synthetic_control,0.9666666666666667
Best3-logistic_average,cricket_y,0.7205128205128205
Best3-logistic_average,distal_phalanax_tw,0.6834532374100719
Best3-logistic_average,egg_five_days,1.0
Best3-logistic_average,face_ucr,0.9351219512195122
Best3-logistic_average,fifty_words,0.7670329670329671
Best3-logistic_average,mote_strain,0.9
Best3-logistic_average,power_cons,0.9833333333333333
Best3-logistic_average,sony_robot,0.95
Best3-logistic_average,synthetic_control,0.9866666666666667
Best3-logistic_average_with_confidence,cricket_y,0.7256410256410256
Best3-logistic_average_with_confidence,distal_phalanax_tw,0.6834532374100719
Best3-logistic_average_with_confidence,egg_five_days,1.0
Best3-logistic_average_with_confidence,face_ucr,0.9370731707317074
Best3-logistic_average_with_confidence,fifty_words,0.7626373626373626
Best3-logistic_average_with_confidence,mote_strain,0.9
Best3-logistic_average_with_confidence,power_cons,0.9833333333333333
Best3-logistic_average_with_confidence,sony_robot,0.95
Best3-logistic_average_with_confidence,synthetic_control,0.9866666666666667
Best3-majority_vote,cricket_y,0.7256410256410256
Best3-majority_vote,distal_phalanax_tw,0.6906474820143885
Best3-majority_vote,egg_five_days,1.0
Best3-majority_vote,face_ucr,0.9331707317073171
Best3-majority_vote,fifty_words,0.7626373626373626
Best3-majority_vote,mote_strain,0.9
Best3-majority_vote,power_cons,0.9611111111111111
Best3-majority_vote,sony_robot,0.95
Best3-majority_vote,synthetic_control,0.99
