classifier_name,dataset_name,accuracy
Encoder10-average,cricket_y,0.6846153846153846
Encoder10-average,distal_phalanax_tw,0.7050359712230215
Encoder10-average,egg_five_days,1.0
Encoder10-average,face_ucr,0.9
Encoder10-average,fifty_words,0.7538461538461538
Encoder10-average,mote_strain,0.95
Encoder10-average,power_cons,0.9611111111111111
Encoder10-average,sony_robot,0.95
Encoder10-average,synthetic_control,0.9766666666666667
Encoder10-average_with_confidence,cricket_y,0.6641025641025641
Encoder10-average_with_confidence,distal_phalanax_tw,0.7050359712230215
Encoder10-average_with_confidence,egg_five_days,1.0
Encoder10-average_with_confidence,face_ucr,0.8970731707317073
Encoder10-average_with_confidence,fifty_words,0.7406593406593407
Encoder10-average_with_confidence,mote_strain,0.95
Encoder10-average_with_confidence,power_cons,0.9611111111111111
Encoder10-average_with_confidence,sony_robot,0.95
Encoder10-average_with_confidence,synthetic_control,0.98
Encoder10-logistic_average,cricket_y,0.6846153846153846
Encoder10-logistic_average,distal_phalanax_tw,0.7050359712230215
Encoder10-logistic_average,egg_five_days,1.0
Encoder10-logistic_average,face_ucr,0.8995121951219512
Encoder10-logistic_average,fifty_words,0.7538461538461538
Encoder10-logistic_average,mote_strain,0.95
Encoder10-logistic_average,power_cons,0.9611111111111111
Encoder10-logistic_average,sony_robot,0.95
Encoder10-logistic_average,synthetic_control,0.9766666666666667
Encoder10-logistic_average_with_confidence,cricket_y,0.6820512820512821
Encoder10-logistic_average_with_confidence,distal_phalanax_tw,0.7050359712230215
Encoder10-logistic_average_with_confidence,egg_five_days,1.0
Encoder10-logistic_average_with_confidence,face_ucr,0.8995121951219512
Encoder10-logistic_average_with_confidence,fifty_words,0.7538461538461538
Encoder10-logistic_average_with_confidence,mote_strain,0.95
Encoder10-logistic_average_with_confidence,power_cons,0.9611111111111111
Encoder10-logistic_average_with_confidence,sony_robot,0.95
Encoder10-logistic_average_with_confidence,synthetic_control,0.9766666666666667
Encoder10-majority_vote,cricket_y,0.676923076923077
Encoder10-majority_vote,distal_phalanax_tw,0.697841726618705
Encoder10-majority_vote,egg_five_days,1.0
Encoder10-majority_vote,face_ucr,0.8980487804878049
Encoder10-majority_vote,fifty_words,0.7494505494505495
Encoder10-majority_vote,mote_strain,0.95
Encoder10-majority_vote,power_cons,0.9611111111111111
Encoder10-majority_vote,sony_robot,0.95
Encoder10-majority_vote,synthetic_control,0.9833333333333333
