classifier_name,dataset_name,accuracy
Resnet10-average,cricket_y,0.6871794871794872
Resnet10-average,distal_phalanax_tw,0.6258992805755396
Resnet10-average,egg_five_days,1.0
Resnet10-average,face_ucr,0.9365853658536586
Resnet10-average,fifty_words,0.47692307692307695
Resnet10-average,mote_strain,0.95
Resnet10-average,power_cons,0.4444444444444444
Resnet10-average,sony_robot,0.95
Resnet10-average,synthetic_control,0.5033333333333333
Resnet10-average_with_confidence,cricket_y,0.6897435897435897
Resnet10-average_with_confidence,distal_phalanax_tw,0.5179856115107914
Resnet10-average_with_confidence,egg_five_days,1.0
Resnet10-average_with_confidence,face_ucr,0.9360975609756098
Resnet10-average_with_confidence,fifty_words,0.46593406593406594
Resnet10-average_with_confidence,mote_strain,0.95
Resnet10-average_with_confidence,power_cons,0.4444444444444444
Resnet10-average_with_confidence,sony_robot,0.95
Resnet10-average_with_confidence,synthetic_control,0.5066666666666667
Resnet10-logistic_average,cricket_y,0.6871794871794872
Resnet10-logistic_average,distal_phalanax_tw,0.6258992805755396
Resnet10-logistic_average,egg_five_days,1.0
Resnet10-logistic_average,face_ucr,0.9365853658536586
Resnet10-logistic_average,fifty_words,0.47912087912087914
Resnet10-logistic_average,mote_strain,0.95
Resnet10-logistic_average,power_cons,0.4444444444444444
Resnet10-logistic_average,sony_robot,0.95
Resnet10-logistic_average,synthetic_control,0.5033333333333333
Resnet10-logistic_average_with_confidence,cricket_y,0.6897435897435897
Resnet10-logistic_average_with_confidence,distal_phalanax_tw,0.6258992805755396
Resnet10-logistic_average_with_confidence,egg_five_days,1.0
Resnet10-logistic_average_with_confidence,face_ucr,0.9365853658536586
Resnet10-logistic_average_with_confidence,fifty_words,0.47692307692307695
Resnet10-logistic_average_with_confidence,mote_strain,0.95
Resnet10-logistic_average_with_confidence,power_cons,0.4444444444444444
Resnet10-logistic_average_with_confidence,sony_robot,0.95
Resnet10-logistic_average_with_confidence,synthetic_control,0.5033333333333333
Resnet10-majority_vote,cricket_y,0.7
Resnet10-majority_vote,distal_phalanax_tw,0.6330935251798561
Resnet10-majority_vote,egg_five_days,1.0
Resnet10-majority_vote,face_ucr,0.9360975609756098
Resnet10-majority_vote,fifty_words,0.4835164835164835
Resnet10-majority_vote,mote_strain,0.95
Resnet10-majority_vote,power_cons,0.5277777777777778
Resnet10-majority_vote,sony_robot,0.95
Resnet10-majority_vote,synthetic_control,0.49666666666666665
