classifier_name,dataset_name,accuracy
All-average,cricket_y,0.7205128205128205
All-average,distal_phalanax_tw,0.697841726618705
All-average,egg_five_days,1.0
All-average,face_ucr,0.9390243902439024
All-average,fifty_words,0.7692307692307693
All-average,mote_strain,0.9
All-average,power_cons,0.9888888888888889
All-average,sony_robot,0.95
All-average,synthetic_control,0.9766666666666667
All-average_with_confidence,cricket_y,0.7153846153846154
All-average_with_confidence,distal_phalanax_tw,0.6834532374100719
All-average_with_confidence,egg_five_days,1.0
All-average_with_confidence,face_ucr,0.9331707317073171
All-average_with_confidence,fifty_words,0.7252747252747253
All-average_with_confidence,mote_strain,0.9
All-average_with_confidence,power_cons,0.9888888888888889
All-average_with_confidence,sony_robot,0.95
All-average_with_confidence,synthetic_control,0.9666666666666667
All-logistic_average,cricket_y,0.7205128205128205
All-logistic_average,distal_phalanax_tw,0.697841726618705
All-logistic_average,egg_five_days,1.0
All-logistic_average,face_ucr,0.9385365853658536
All-logistic_average,fifty_words,0.7714285714285715
All-logistic_average,mote_strain,0.9
All-logistic_average,power_cons,0.9888888888888889
All-logistic_average,sony_robot,0.95
All-logistic_average,synthetic_control,0.9766666666666667
All-logistic_average_with_confidence,cricket_y,0.7205128205128205
All-logistic_average_with_confidence,distal_phalanax_tw,0.697841726618705
All-logistic_average_with_confidence,egg_five_days,1.0
All-logistic_average_with_confidence,face_ucr,0.94
All-logistic_average_with_confidence,fifty_words,0.7626373626373626
All-logistic_average_with_confidence,mote_strain,0.9
All-logistic_average_with_confidence,power_cons,0.9888888888888889
All-logistic_average_with_confidence,sony_robot,0.95
All-logistic_average_with_confidence,synthetic_control,0.9766666666666667
All-majority_vote,cricket_y,0.7025641025641025
All-majority_vote,distal_phalanax_tw,0.6906474820143885
All-majority_vote,egg_five_days,1.0
All-majority_vote,face_ucr,0.9385365853658536
All-majority_vote,fifty_words,0.7384615384615385
All-majority_vote,mote_strain,0.9
All-majority_vote,power_cons,0.9833333333333333
All-majority_vote,sony_robot,0.95
All-majority_vote,synthetic_control,0.98
Encoder10-average,cricket_y,0.6846153846153846
Encoder10-average,distal_phalanax_tw,0.7050359712230215
Encoder10-average,egg_five_days,1.0
Encoder10-average,face_ucr,0.9
Encoder10-average,fifty_words,0.7538461538461538
Encoder10-average,mote_strain,0.95
Encoder10-average,power_cons,0.9611111111111111
Encoder10-average,sony_robot,0.95
Encoder10-average,synthetic_control,0.9766666666666667
Encoder10-average_with_confidence,cricket_y,0.6641025641025641
Encoder10-average_with_confidence,distal_phalanax_tw,0.7050359712230215
Encoder10-average_with_confidence,egg_five_days,1.0
Encoder10-average_with_confidence,face_ucr,0.8970731707317073
Encoder10-average_with_confidence,fifty_words,0.7406593406593407
Encoder10-average_with_confidence,mote_strain,0.95
Encoder10-average_with_confidence,power_cons,0.9611111111111111
Encoder10-average_with_confidence,sony_robot,0.95
Encoder10-average_with_confidence,synthetic_control,0.98
Encoder10-logistic_average,cricket_y,0.6846153846153846
Encoder10-logistic_average,distal_phalanax_tw,0.7050359712230215
Encoder10-logistic_average,egg_five_days,1.0
Encoder10-logistic_average,face_ucr,0.8995121951219512
Encoder10-logistic_average,fifty_words,0.7538461538461538
Encoder10-logistic_average,mote_strain,0.95
Encoder10-logistic_average,power_cons,0.9611111111111111
Encoder10-logistic_average,sony_robot,0.95
Encoder10-logistic_average,synthetic_control,0.9766666666666667
Encoder10-logistic_average_with_confidence,cricket_y,0.6820512820512821
Encoder10-logistic_average_with_confidence,distal_phalanax_tw,0.7050359712230215
Encoder10-logistic_average_with_confidence,egg_five_days,1.0
Encoder10-logistic_average_with_confidence,face_ucr,0.8995121951219512
Encoder10-logistic_average_with_confidence,fifty_words,0.7538461538461538
Encoder10-logistic_average_with_confidence,mote_strain,0.95
Encoder10-logistic_average_with_confidence,power_cons,0.9611111111111111
Encoder10-logistic_average_with_confidence,sony_robot,0.95
Encoder10-logistic_average_with_confidence,synthetic_control,0.9766666666666667
Encoder10-majority_vote,cricket_y,0.676923076923077
Encoder10-majority_vote,distal_phalanax_tw,0.697841726618705
Encoder10-majority_vote,egg_five_days,1.0
Encoder10-majority_vote,face_ucr,0.8980487804878049
Encoder10-majority_vote,fifty_words,0.7494505494505495
Encoder10-majority_vote,mote_strain,0.95
Encoder10-majority_vote,power_cons,0.9611111111111111
Encoder10-majority_vote,sony_robot,0.95
Encoder10-majority_vote,synthetic_control,0.9833333333333333
FCN10-average,cricket_y,0.5051282051282051
FCN10-average,distal_phalanax_tw,0.6906474820143885
FCN10-average,egg_five_days,0.9565217391304348
FCN10-average,face_ucr,0.9024390243902439
FCN10-average,fifty_words,0.34065934065934067
FCN10-average,mote_strain,0.95
FCN10-average,power_cons,0.5
FCN10-average,sony_robot,0.9
FCN10-average,synthetic_control,0.043333333333333335
FCN10-average_with_confidence,cricket_y,0.5102564102564102
FCN10-average_with_confidence,distal_phalanax_tw,0.6402877697841727
FCN10-average_with_confidence,egg_five_days,0.9565217391304348
FCN10-average_with_confidence,face_ucr,0.8990243902439025
FCN10-average_with_confidence,fifty_words,0.3362637362637363
FCN10-average_with_confidence,mote_strain,0.95
FCN10-average_with_confidence,power_cons,0.5
FCN10-average_with_confidence,sony_robot,0.9
FCN10-average_with_confidence,synthetic_control,0.03666666666666667
FCN10-logistic_average,cricket_y,0.5051282051282051
FCN10-logistic_average,distal_phalanax_tw,0.6906474820143885
FCN10-logistic_average,egg_five_days,0.9565217391304348
