classifier_name,dataset_name,accuracy
Encoder10-average,cricket_y,0.6538461538461539
Encoder10-average,distal_phalanax_tw,0.6762589928057554
Encoder10-average,egg_five_days,1.0
Encoder10-average,face_ucr,0.9063414634146342
Encoder10-average,fifty_words,0.7164835164835165
Encoder10-average,mote_strain,0.85
Encoder10-average,power_cons,0.95
Encoder10-average,sony_robot,0.95
Encoder10-average,synthetic_control,0.97
Encoder10-average_with_confidence,cricket_y,0.6435897435897436
Encoder10-average_with_confidence,distal_phalanax_tw,0.6762589928057554
Encoder10-average_with_confidence,egg_five_days,1.0
Encoder10-average_with_confidence,face_ucr,0.8995121951219512
Encoder10-average_with_confidence,fifty_words,0.7208791208791209
Encoder10-average_with_confidence,mote_strain,0.85
Encoder10-average_with_confidence,power_cons,0.95
Encoder10-average_with_confidence,sony_robot,0.95
Encoder10-average_with_confidence,synthetic_control,0.97
Encoder10-logistic_average,cricket_y,0.6538461538461539
Encoder10-logistic_average,distal_phalanax_tw,0.6762589928057554
Encoder10-logistic_average,egg_five_days,1.0
Encoder10-logistic_average,face_ucr,0.9063414634146342
Encoder10-logistic_average,fifty_words,0.7164835164835165
Encoder10-logistic_average,mote_strain,0.85
Encoder10-logistic_average,power_cons,0.95
Encoder10-logistic_average,sony_robot,0.95
Encoder10-logistic_average,synthetic_control,0.97
Encoder10-logistic_average_with_confidence,cricket_y,0.6538461538461539
Encoder10-logistic_average_with_confidence,distal_phalanax_tw,0.6762589928057554
Encoder10-logistic_average_with_confidence,egg_five_days,1.0
Encoder10-logistic_average_with_confidence,face_ucr,0.9058536585365854
Encoder10-logistic_average_with_confidence,fifty_words,0.7164835164835165
Encoder10-logistic_average_with_confidence,mote_strain,0.85
Encoder10-logistic_average_with_confidence,power_cons,0.95
Encoder10-logistic_average_with_confidence,sony_robot,0.95
Encoder10-logistic_average_with_confidence,synthetic_control,0.97
Encoder10-majority_vote,cricket_y,0.6794871794871795
Encoder10-majority_vote,distal_phalanax_tw,0.6834532374100719
Encoder10-majority_vote,egg_five_days,1.0
Encoder10-majority_vote,face_ucr,0.9048780487804878
Encoder10-majority_vote,fifty_words,0.7296703296703296
Encoder10-majority_vote,mote_strain,0.9
Encoder10-majority_vote,power_cons,0.95
Encoder10-majority_vote,sony_robot,0.95
Encoder10-majority_vote,synthetic_control,0.97
