classifier_name,dataset_name,accuracy
NNE-average,cricket_y,0.7769230769230769
NNE-average,distal_phalanax_tw,0.7050359712230215
NNE-average,egg_five_days,1.0
NNE-average,face_ucr,0.9473170731707317
NNE-average,fifty_words,0.7626373626373626
NNE-average,mote_strain,1.0
NNE-average,power_cons,0.9611111111111111
NNE-average,sony_robot,0.95
NNE-average,synthetic_control,0.9833333333333333
NNE-average_with_confidence,cricket_y,0.7410256410256411
NNE-average_with_confidence,distal_phalanax_tw,0.6474820143884892
NNE-average_with_confidence,egg_five_days,1.0
NNE-average_with_confidence,face_ucr,0.9409756097560975
NNE-average_with_confidence,fifty_words,0.7164835164835165
NNE-average_with_confidence,mote_strain,1.0
NNE-average_with_confidence,power_cons,0.9611111111111111
NNE-average_with_confidence,sony_robot,0.95
NNE-average_with_confidence,synthetic_control,0.97
NNE-logistic_average,cricket_y,0.7743589743589744
NNE-logistic_average,distal_phalanax_tw,0.7050359712230215
NNE-logistic_average,egg_five_days,1.0
NNE-logistic_average,face_ucr,0.9473170731707317
NNE-logistic_average,fifty_words,0.7648351648351648
NNE-logistic_average,mote_strain,1.0
NNE-logistic_average,power_cons,0.9611111111111111
NNE-logistic_average,sony_robot,0.95
NNE-logistic_average,synthetic_control,0.9833333333333333
NNE-logistic_average_with_confidence,cricket_y,0.7743589743589744
NNE-logistic_average_with_confidence,distal_phalanax_tw,0.7050359712230215
NNE-logistic_average_with_confidence,egg_five_days,1.0
NNE-logistic_average_with_confidence,face_ucr,0.9468292682926829
NNE-logistic_average_with_confidence,fifty_words,0.7626373626373626
NNE-logistic_average_with_confidence,mote_strain,1.0
NNE-logistic_average_with_confidence,power_cons,0.9611111111111111
NNE-logistic_average_with_confidence,sony_robot,0.95
NNE-logistic_average_with_confidence,synthetic_control,0.9833333333333333
NNE-majority_vote,cricket_y,0.7615384615384615
NNE-majority_vote,distal_phalanax_tw,0.7338129496402878
NNE-majority_vote,egg_five_days,1.0
NNE-majority_vote,face_ucr,0.944390243902439
NNE-majority_vote,fifty_words,0.6747252747252748
NNE-majority_vote,mote_strain,1.0
NNE-majority_vote,power_cons,0.8111111111111111
NNE-majority_vote,sony_robot,0.95
NNE-majority_vote,synthetic_control,0.8933333333333333
