classifier_name,dataset_name,accuracy
Resnet10-average,cricket_y,0.7564102564102564
Resnet10-average,distal_phalanax_tw,0.6906474820143885
Resnet10-average,egg_five_days,1.0
Resnet10-average,face_ucr,0.9390243902439024
Resnet10-average,fifty_words,0.6087912087912087
Resnet10-average,mote_strain,1.0
Resnet10-average,power_cons,0.65
Resnet10-average,sony_robot,1.0
Resnet10-average,synthetic_control,0.8066666666666666
Resnet10-average_with_confidence,cricket_y,0.6820512820512821
Resnet10-average_with_confidence,distal_phalanax_tw,0.6618705035971223
Resnet10-average_with_confidence,egg_five_days,1.0
Resnet10-average_with_confidence,face_ucr,0.9385365853658536
Resnet10-average_with_confidence,fifty_words,0.5868131868131868
Resnet10-average_with_confidence,mote_strain,1.0
Resnet10-average_with_confidence,power_cons,0.65
Resnet10-average_with_confidence,sony_robot,1.0
Resnet10-average_with_confidence,synthetic_control,0.75
Resnet10-logistic_average,cricket_y,0.7589743589743589
Resnet10-logistic_average,distal_phalanax_tw,0.6906474820143885
Resnet10-logistic_average,egg_five_days,1.0
Resnet10-logistic_average,face_ucr,0.9390243902439024
Resnet10-logistic_average,fifty_words,0.6087912087912087
Resnet10-logistic_average,mote_strain,1.0
Resnet10-logistic_average,power_cons,0.65
Resnet10-logistic_average,sony_robot,1.0
Resnet10-logistic_average,synthetic_control,0.8066666666666666
Resnet10-logistic_average_with_confidence,cricket_y,0.7615384615384615
Resnet10-logistic_average_with_confidence,distal_phalanax_tw,0.6906474820143885
Resnet10-logistic_average_with_confidence,egg_five_days,1.0
Resnet10-logistic_average_with_confidence,face_ucr,0.9390243902439024
Resnet10-logistic_average_with_confidence,fifty_words,0.610989010989011
Resnet10-logistic_average_with_confidence,mote_strain,1.0
Resnet10-logistic_average_with_confidence,power_cons,0.65
Resnet10-logistic_average_with_confidence,sony_robot,1.0
Resnet10-logistic_average_with_confidence,synthetic_control,0.8
Resnet10-majority_vote,cricket_y,0.7384615384615385
Resnet10-majority_vote,distal_phalanax_tw,0.7194244604316546
Resnet10-majority_vote,egg_five_days,1.0
Resnet10-majority_vote,face_ucr,0.9385365853658536
Resnet10-majority_vote,fifty_words,0.6065934065934065
Resnet10-majority_vote,mote_strain,1.0
Resnet10-majority_vote,power_cons,0.6111111111111112
Resnet10-majority_vote,sony_robot,1.0
Resnet10-majority_vote,synthetic_control,0.77
