,dataset_name,model_name,test_acc,confusion_matrix
0,electric_devices,MLP10-average,0.5496044611593827,"[[38, 0, 1, 301, 295, 32, 0], [0, 1184, 6, 200, 554, 0, 12], [9, 15, 445, 181, 4, 10, 91], [25, 8, 38, 892, 177, 16, 9], [9, 116, 1, 157, 1562, 15, 9], [24, 40, 37, 425, 87, 111, 19], [7, 18, 2, 174, 349, 0, 6]]"
1,electric_devices,MLP10-average_with_confidence,0.5451951757229931,"[[38, 2, 2, 270, 319, 36, 0], [0, 1147, 7, 205, 587, 0, 10], [10, 21, 433, 163, 7, 14, 107], [28, 9, 41, 872, 183, 18, 14], [11, 112, 1, 144, 1580, 14, 7], [24, 41, 36, 387, 113, 126, 16], [6, 25, 2, 150, 365, 0, 8]]"
2,electric_devices,MLP10-logistic_average,0.5501232006224873,"[[39, 0, 1, 302, 293, 32, 0], [0, 1185, 6, 200, 553, 0, 12], [8, 15, 445, 182, 4, 11, 90], [25, 8, 39, 894, 175, 16, 8], [9, 116, 1, 157, 1562, 15, 9], [24, 40, 37, 425, 86, 111, 20], [7, 18, 2, 174, 349, 0, 6]]"
3,electric_devices,MLP10-logistic_average_with_confidence,0.5501232006224873,"[[38, 0, 1, 301, 295, 32, 0], [0, 1182, 6, 200, 556, 0, 12], [9, 15, 446, 180, 5, 10, 90], [25, 8, 38, 892, 174, 16, 12], [9, 116, 1, 155, 1565, 14, 9], [24, 40, 36, 423, 88, 113, 19], [7, 18, 2, 171, 352, 0, 6]]"
4,electric_devices,MLP10-majority_vote,0.5527168979380106,"[[45, 1, 2, 325, 267, 27, 0], [0, 1256, 13, 191, 490, 0, 6], [4, 13, 446, 221, 2, 6, 63], [23, 6, 37, 924, 154, 14, 7], [10, 155, 1, 189, 1495, 13, 6], [28, 50, 37, 466, 63, 93, 6], [8, 21, 4, 224, 296, 0, 3]]"
5,swedish_leaf,MLP10-average,0.8368,"[[21, 0, 3, 0, 0, 0, 0, 0, 20, 0, 1, 0, 0, 1, 0], [0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0], [2, 0, 31, 0, 0, 0, 3, 0, 4, 0, 0, 0, 0, 0, 0], [0, 0, 0, 29, 2, 0, 1, 0, 0, 0, 0, 0, 1, 5, 1], [0, 0, 0, 0, 35, 0, 0, 1, 0, 0, 0, 1, 4, 0, 1], [0, 0, 0, 0, 0, 33, 0, 3, 0, 0, 0, 3, 0, 1, 5], [0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 2, 0, 0], [1, 0, 1, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0], [0, 0, 0, 3, 0, 1, 0, 0, 0, 27, 0, 0, 0, 18, 0], [0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 37, 0, 0, 1, 1], [0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 36, 0, 0, 0], [0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 39, 0, 0], [0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 1, 0, 0, 29, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 39]]"
6,swedish_leaf,MLP10-average_with_confidence,0.8416,"[[21, 0, 3, 0, 0, 0, 0, 0, 20, 0, 1, 0, 0, 1, 0], [0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0], [1, 0, 32, 0, 0, 0, 3, 0, 4, 0, 0, 0, 0, 0, 0], [0, 0, 0, 30, 1, 0, 1, 0, 0, 0, 0, 0, 1, 5, 1], [0, 0, 0, 0, 35, 0, 0, 1, 0, 0, 0, 1, 4, 0, 1], [0, 1, 0, 0, 0, 32, 0, 3, 0, 0, 0, 3, 0, 1, 5], [0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 2, 0, 0], [1, 0, 1, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0], [0, 0, 0, 3, 0, 1, 0, 0, 0, 29, 0, 0, 0, 16, 0], [0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 37, 0, 0, 1, 1], [0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 36, 0, 0, 0], [0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 39, 0, 0], [0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 1, 0, 0, 29, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 39]]"
7,swedish_leaf,MLP10-logistic_average,0.8368,"[[21, 0, 3, 0, 0, 0, 0, 0, 20, 0, 1, 0, 0, 1, 0], [0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0], [2, 0, 31, 0, 0, 0, 3, 0, 4, 0, 0, 0, 0, 0, 0], [0, 0, 0, 29, 2, 0, 1, 0, 0, 0, 0, 0, 1, 5, 1], [0, 0, 0, 0, 35, 0, 0, 1, 0, 0, 0, 1, 4, 0, 1], [0, 0, 0, 0, 0, 33, 0, 3, 0, 0, 0, 3, 0, 1, 5], [0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 2, 0, 0], [1, 0, 1, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0], [0, 0, 0, 3, 0, 1, 0, 0, 0, 27, 0, 0, 0, 18, 0], [0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 37, 0, 0, 1, 1], [0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 36, 0, 0, 0], [0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 39, 0, 0], [0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 1, 0, 0, 29, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 39]]"
8,swedish_leaf,MLP10-logistic_average_with_confidence,0.8368,"[[21, 0, 3, 0, 0, 0, 0, 0, 20, 0, 1, 0, 0, 1, 0], [0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0], [2, 0, 31, 0, 0, 0, 3, 0, 4, 0, 0, 0, 0, 0, 0], [0, 0, 0, 29, 2, 0, 1, 0, 0, 0, 0, 0, 1, 5, 1], [0, 0, 0, 0, 35, 0, 0, 1, 0, 0, 0, 1, 4, 0, 1], [0, 0, 0, 0, 0, 33, 0, 3, 0, 0, 0, 3, 0, 1, 5], [0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 2, 0, 0], [1, 0, 1, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0], [0, 0, 0, 3, 0, 1, 0, 0, 0, 27, 0, 0, 0, 18, 0], [0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 37, 0, 0, 1, 1], [0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 36, 0, 0, 0], [0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 39, 0, 0], [0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 1, 0, 0, 29, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 39]]"
9,swedish_leaf,MLP10-majority_vote,0.84,"[[22, 0, 2, 0, 0, 0, 0, 0, 20, 0, 1, 0, 0, 1, 0], [0, 38, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0], [2, 0, 32, 0, 0, 0, 2, 0, 4, 0, 0, 0, 0, 0, 0], [1, 0, 0, 29, 1, 0, 1, 0, 0, 0, 0, 0, 1, 5, 1], [0, 0, 0, 0, 36, 0, 0, 1, 0, 0, 0, 1, 2, 0, 2], [0, 0, 0, 0, 0, 34, 0, 3, 0, 0, 0, 2, 0, 1, 5], [0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0], [2, 0, 1, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0], [0, 0, 0, 3, 0, 1, 0, 0, 0, 26, 0, 0, 0, 19, 0], [0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 37, 0, 0, 1, 1], [0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 35, 0, 0, 0], [0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 38, 0, 0], [0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 1, 0, 0, 29, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 39]]"
