dataset_name,model_name,test_loss,test_acc,confusion_matrix,history
cbf,MLP-0,0.472170352935791,0.8633333444595337,"[[274, 0, 26], [12, 286, 0], [85, 0, 217]]","{""loss"": [1.3068312406539917, 0.6831731200218201, 0.469238817691803, 0.3045119047164917, 0.16437353193759918, 0.15182635188102722, 0.047283660620450974, 0.06170522794127464, 0.026391660794615746, 0.05841954052448273, 0.008958554826676846, 0.014018372632563114, 0.02955019474029541, 0.001723853754810989, 0.0027748607099056244, 0.005945610348135233, 0.008186820894479752, 0.0031570224091410637, 0.0057840775698423386, 0.00042779010254889727, 0.0014727205270901322, 0.0002577023406047374, 0.00016111954755615443, 0.0003949118254240602, 0.0006788384635001421, 0.0003846310719382018, 0.00033600235474295914, 8.743456419324502e-05, 0.0005198126891627908, 6.81434030411765e-05], ""accuracy"": [0.3333333432674408, 0.699999988079071, 0.8666666746139526, 0.8666666746139526, 0.9666666388511658, 0.8999999761581421, 1.0, 0.9666666388511658, 1.0, 0.9666666388511658, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]}"
cbf,MLP-1,0.953342854976654,0.8077777624130249,"[[290, 0, 10], [31, 267, 0], [132, 0, 170]]","{""loss"": [1.139349341392517, 0.5962836146354675, 0.4281272292137146, 0.25231724977493286, 0.18191859126091003, 0.12751828134059906, 0.03748050704598427, 0.044243671000003815, 0.039621833711862564, 0.056985143572092056, 0.012349316850304604, 0.04267069324851036, 0.0030813110060989857, 0.0009165505762211978, 0.007596405688673258, 0.006795011926442385, 0.005087634082883596, 0.0015332556795328856, 0.0011970283230766654, 0.0015229679411277175, 0.0067778825759887695, 0.00011757651373045519, 3.900348019669764e-05, 0.0002893568016588688, 0.0006056465208530426, 0.005169684067368507, 0.0006707639549858868, 0.00028826724155806005, 0.06495681405067444, 0.06428076326847076], ""accuracy"": [0.36666667461395264, 0.7666666507720947, 0.8666666746139526, 0.9333333373069763, 0.9333333373069763, 0.9333333373069763, 1.0, 1.0, 0.9666666388511658, 0.9666666388511658, 1.0, 0.9666666388511658, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9666666388511658, 0.9666666388511658]}"
cbf,MLP-2,0.6014782786369324,0.852222204208374,"[[285, 3, 12], [1, 297, 0], [117, 0, 185]]","{""loss"": [1.0898689031600952, 0.6421180963516235, 0.436007559299469, 0.3536824584007263, 0.18269772827625275, 0.16647343337535858, 0.07419610768556595, 0.016468770802021027, 0.10973598808050156, 0.04786735400557518, 0.014005392789840698, 0.003552055452018976, 0.007766729686409235, 0.022744374349713326, 0.004835867322981358, 0.0055594416335225105, 0.0026984962169080973, 0.005111301317811012, 0.0007975492626428604, 0.0013906325912103057, 0.006800919305533171, 0.0008669680100865662, 6.42360100755468e-05, 0.001198252895846963, 9.034106187755242e-05, 0.001440446823835373, 0.0005756591563113034, 0.00011123059812234715, 0.0016161438543349504, 0.0023753726854920387], ""accuracy"": [0.36666667461395264, 0.6666666865348816, 0.8666666746139526, 0.800000011920929, 0.9666666388511658, 0.9666666388511658, 1.0, 1.0, 0.9666666388511658, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]}"
cbf,MLP-3,0.9609093070030212,0.8066666722297668,"[[296, 0, 4], [10, 288, 0], [160, 0, 142]]","{""loss"": [1.4079667329788208, 0.6346807479858398, 0.45487868785858154, 0.32487162947654724, 0.29006844758987427, 0.11179057508707047, 0.08711543679237366, 0.050349753350019455, 0.033121995627880096, 0.036180268973112106, 0.007361793890595436, 0.01748611591756344, 0.00428366381675005, 0.004016135819256306, 0.005946418270468712, 0.0019764569588005543, 0.003247495973482728, 0.01906900480389595, 0.0032080463133752346, 0.007117832079529762, 0.07932040095329285, 0.008083834312856197, 0.015349392779171467, 0.026190724223852158, 0.006532688625156879, 0.0037830823566764593, 0.0007059958879835904, 0.0011275098659098148, 0.0021387573797255754, 0.004038624465465546], ""accuracy"": [0.13333334028720856, 0.699999988079071, 0.800000011920929, 0.8999999761581421, 0.9333333373069763, 0.9333333373069763, 0.9666666388511658, 1.0, 0.9666666388511658, 0.9666666388511658, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9666666388511658, 1.0, 1.0, 0.9666666388511658, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]}"
cbf,MLP-4,0.5172688364982605,0.8644444346427917,"[[276, 2, 22], [6, 292, 0], [92, 0, 210]]","{""loss"": [1.0772669315338135, 0.6411543488502502, 0.4291861355304718, 0.22685204446315765, 0.1931382119655609, 0.13595323264598846, 0.03664485737681389, 0.031187063083052635, 0.011317423544824123, 0.029907651245594025, 0.004033678211271763, 0.004773843102157116, 0.0029208457563072443, 0.004015458282083273, 0.01715688966214657, 0.004632099531590939, 0.001542898127809167, 0.006131509784609079, 0.0037089288234710693, 0.0003081766772083938, 0.0015354307834059, 0.0035730451345443726, 0.0005121409776620567, 0.00011161067232023925, 0.0001782730541890487, 0.0008063336717896163, 0.00034759455593302846, 0.00025630334857851267, 0.002556468592956662, 0.0003195043245796114], ""accuracy"": [0.3333333432674408, 0.7333333492279053, 0.8333333134651184, 0.9333333373069763, 0.9333333373069763, 0.9333333373069763, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]}"
cbf,MLP-5,0.8609131574630737,0.8199999928474426,"[[286, 11, 3], [1, 297, 0], [147, 0, 155]]","{""loss"": [1.2213935852050781, 0.7073251605033875, 0.46843013167381287, 0.3810349702835083, 0.28437232971191406, 0.16904884576797485, 0.05346601828932762, 0.0525946207344532, 0.03272860497236252, 0.034347277134656906, 0.061964865773916245, 0.00837018620222807, 0.006250922102481127, 0.0014742944622412324, 0.02342032454907894, 0.008349385112524033, 0.01357840932905674, 0.0031443373300135136, 0.003934272564947605, 0.0011368045816197991, 0.0027812051121145487, 0.00042516636312939227, 0.0001597573864273727, 0.000612059491686523, 0.0060696667060256, 0.014899754896759987, 0.01013118028640747, 0.0005793995806016028, 0.0037213496398180723, 0.01744871586561203], ""accuracy"": [0.4333333373069763, 0.6333333253860474, 0.800000011920929, 0.800000011920929, 0.8666666746139526, 0.9333333373069763, 1.0, 1.0, 1.0, 1.0, 0.9666666388511658, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]}"
cbf,MLP-6,0.3852446973323822,0.8811110854148865,"[[290, 0, 10], [5, 293, 0], [92, 0, 210]]","{""loss"": [1.2406147718429565, 0.6560325026512146, 0.41582879424095154, 0.3615573048591614, 0.20033441483974457, 0.18641255795955658, 0.0747806504368782, 0.05026718229055405, 0.03180709481239319, 0.02587900683283806, 0.024951225146651268, 0.014985389076173306, 0.0016855932772159576, 0.0008030534372664988, 0.0057817185297608376, 0.0015927341300994158, 0.001324803102761507, 0.001829465851187706, 0.002391168614849448, 0.001222463441081345, 0.0010867671808227897, 0.0009358773240819573, 0.00020573762594722211, 0.0004145105485804379, 0.0009677286725491285, 0.0004292085359338671, 0.00032254759571515024, 8.762659854255617e-05, 4.6900531742721796e-05, 0.00027015680097974837], ""accuracy"": [0.36666667461395264, 0.800000011920929, 0.9333333373069763, 0.8666666746139526, 0.9666666388511658, 0.9333333373069763, 0.9666666388511658, 0.9666666388511658, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]}"
cbf,MLP-7,0.5264405012130737,0.8755555748939514,"[[278, 4, 18], [4, 294, 0], [86, 0, 216]]","{""loss"": [1.1866892576217651, 0.6499764323234558, 0.42912760376930237, 0.3155195415019989, 0.15293127298355103, 0.18178430199623108, 0.04454268142580986, 0.041495371609926224, 0.0267342422157526, 0.026961086317896843, 0.013814708217978477, 0.02290402725338936, 0.025070160627365112, 0.0025306951720267534, 0.03295957297086716, 0.0037233999464660883, 0.004844066686928272, 0.02081974223256111, 0.010109687224030495, 0.0005242110346443951, 0.002104406012222171, 0.07948280870914459, 0.0028670323081314564, 0.0012256886111572385, 0.013335664756596088, 0.002870021853595972, 0.00561166787520051, 0.0011207780335098505, 0.0003318586968816817, 0.00014267997175920755], ""accuracy"": [0.3333333432674408, 0.800000011920929, 0.8999999761581421, 0.8666666746139526, 0.8999999761581421, 0.9666666388511658, 0.9666666388511658, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9666666388511658, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9666666388511658, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]}"
cbf,MLP-8,1.2925100326538086,0.7977777719497681,"[[298, 0, 2], [6, 292, 0], [174, 0, 128]]","{""loss"": [1.098426103591919, 0.6068662405014038, 0.48062822222709656, 0.2569583058357239, 0.14785118401050568, 0.14275304973125458, 0.04646585136651993, 0.07233946025371552, 0.008317466825246811, 0.019152037799358368, 0.014921081252396107, 0.004687755834311247, 0.02016425132751465, 0.0012597407912835479, 0.0015522863250225782, 0.0011446860153228045, 0.007712648715823889, 0.0009937823051586747, 0.006675629876554012, 0.00020609406055882573, 0.02026992291212082, 0.0006005765171721578, 0.0006045122863724828, 0.027245093137025833, 0.00023736011644359678, 0.013297167606651783, 0.0003846215840894729, 0.0005849440931342542, 0.0023841760121285915, 0.00041106922435574234], ""accuracy"": [0.4000000059604645, 0.699999988079071, 0.800000011920929, 0.8999999761581421, 0.9666666388511658, 0.8999999761581421, 1.0, 0.9666666388511658, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9666666388511658, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]}"
cbf,MLP-9,0.35275715589523315,0.8822222352027893,"[[271, 16, 13], [2, 296, 0], [75, 0, 227]]","{""loss"": [1.1887108087539673, 0.5816338658332825, 0.43206340074539185, 0.2565813660621643, 0.1267232596874237, 0.0917968899011612, 0.014398541301488876, 0.016159584745764732, 0.053549330681562424, 0.11600794643163681, 0.005656308960169554, 0.02786438539624214, 0.03644644096493721, 0.0028084118384867907, 0.08786604553461075, 0.0038956108037382364, 0.005573141388595104, 0.0058753774501383305, 0.0040756394155323505, 0.000495473446790129, 0.0016334395622834563, 0.0008657653233967721, 0.0019511936698108912, 0.00042622178443707526, 0.0006976090371608734, 0.011347298510372639, 0.0007527769776061177, 0.00012927493662573397, 0.0005095308879390359, 0.0012938055442646146], ""accuracy"": [0.3333333432674408, 0.7333333492279053, 0.800000011920929, 0.8999999761581421, 1.0, 0.9333333373069763, 1.0, 1.0, 0.9666666388511658, 0.9666666388511658, 1.0, 1.0, 1.0, 1.0, 0.9666666388511658, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]}"
