dataset_name,model_name,test_loss,test_acc,confusion_matrix,history
cbf,Resnet-0,1.295746088027954,0.3100000023841858,"[[279, 21, 0], [298, 0, 0], [302, 0, 0]]","{""loss"": [0.9900804162025452, 0.4565524458885193, 0.30510854721069336, 0.19865979254245758, 0.13627924025058746, 0.09581374377012253, 0.06589409708976746, 0.048245035111904144, 0.03771274909377098, 0.029703812673687935, 0.023995302617549896, 0.019958866760134697, 0.01713401824235916, 0.01493365690112114, 0.013142299838364124, 0.011692394502460957, 0.010519764386117458, 0.009582620114088058, 0.008825629018247128, 0.00817358773201704, 0.00760317500680685, 0.0070944675244390965, 0.006651509087532759, 0.006266599055379629, 0.005923772230744362, 0.005612180568277836, 0.005328461993485689, 0.005071850027889013, 0.004839843604713678, 0.0046286131255328655], ""accuracy"": [0.4333333373069763, 0.8999999761581421, 0.9666666388511658, 0.9666666388511658, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]}"
cbf,Resnet-1,1.3027503490447998,0.33222222328186035,"[[280, 0, 20], [297, 1, 0], [284, 0, 18]]","{""loss"": [0.921807050704956, 0.5096645951271057, 0.3275994658470154, 0.21386222541332245, 0.14458757638931274, 0.1032438725233078, 0.07369465380907059, 0.055957429111003876, 0.04406113177537918, 0.035670969635248184, 0.029321368783712387, 0.024468988180160522, 0.020877670496702194, 0.01820126548409462, 0.016092607751488686, 0.014382930472493172, 0.012957560829818249, 0.01182068232446909, 0.010880479589104652, 0.0100715858861804, 0.009349048137664795, 0.008719350211322308, 0.008185822516679764, 0.007719285320490599, 0.007292655296623707, 0.006902405992150307, 0.0065530212596058846, 0.006240914110094309, 0.005957233719527721, 0.005691876169294119], ""accuracy"": [0.4000000059604645, 0.8999999761581421, 0.9666666388511658, 0.9666666388511658, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]}"
cbf,Resnet-2,1.0758452415466309,0.6077777743339539,"[[236, 7, 57], [54, 34, 210], [20, 5, 277]]","{""loss"": [1.047075867652893, 0.5381631255149841, 0.3475099205970764, 0.23608838021755219, 0.1655234545469284, 0.12333962321281433, 0.08922781050205231, 0.06646191328763962, 0.0509737990796566, 0.041136953979730606, 0.034218236804008484, 0.028856130316853523, 0.024820078164339066, 0.021520035341382027, 0.019023239612579346, 0.017056087031960487, 0.015439851209521294, 0.014040409587323666, 0.012830126099288464, 0.011828172951936722, 0.01099138893187046, 0.010261060670018196, 0.009614755399525166, 0.00903997104614973, 0.008523714728653431, 0.008064048364758492, 0.007654702290892601, 0.007279910612851381, 0.006933799013495445, 0.006617316510528326], ""accuracy"": [0.5333333611488342, 0.8999999761581421, 0.9333333373069763, 0.9666666388511658, 0.9666666388511658, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]}"
cbf,Resnet-3,1.3105871677398682,0.2966666519641876,"[[266, 21, 13], [297, 1, 0], [302, 0, 0]]","{""loss"": [0.9236046075820923, 0.47682061791419983, 0.2978961765766144, 0.1790933609008789, 0.11669019609689713, 0.08473232388496399, 0.05882815271615982, 0.042528677731752396, 0.033397190272808075, 0.027040034532546997, 0.022051166743040085, 0.01845044456422329, 0.01586359366774559, 0.013868572190403938, 0.012305186130106449, 0.011013385839760303, 0.00997485313564539, 0.00910230539739132, 0.00838362704962492, 0.007770026568323374, 0.007251829840242863, 0.006801948882639408, 0.006403791718184948, 0.006049339659512043, 0.00573448883369565, 0.00545755447819829, 0.005207224283367395, 0.004975310992449522, 0.0047616008669137955, 0.004565408453345299], ""accuracy"": [0.4333333373069763, 0.8999999761581421, 0.9666666388511658, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]}"
cbf,Resnet-4,1.6557581424713135,0.3166666626930237,"[[284, 0, 16], [298, 0, 0], [301, 0, 1]]","{""loss"": [0.9449502825737, 0.47334468364715576, 0.29924535751342773, 0.18514975905418396, 0.12323961406946182, 0.0853644534945488, 0.05973289906978607, 0.04335898160934448, 0.033322371542453766, 0.0266700629144907, 0.022193310782313347, 0.018646713346242905, 0.016061896458268166, 0.014056134037673473, 0.012382877059280872, 0.011049776338040829, 0.009967806749045849, 0.009103734977543354, 0.008387965150177479, 0.0077738589607179165, 0.0072497534565627575, 0.00679163308814168, 0.006387588568031788, 0.0060280319303274155, 0.005709848832339048, 0.0054202391766011715, 0.005157518200576305, 0.004921299405395985, 0.00470693176612258, 0.004507226403802633], ""accuracy"": [0.4000000059604645, 0.9333333373069763, 0.9666666388511658, 0.9666666388511658, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]}"
cbf,Resnet-5,0.9317022562026978,0.49000000953674316,"[[225, 49, 26], [137, 160, 1], [195, 51, 56]]","{""loss"": [0.9922449588775635, 0.5389760136604309, 0.37176448106765747, 0.2490069568157196, 0.1700490415096283, 0.11298055946826935, 0.07725491374731064, 0.056734565645456314, 0.04458790272474289, 0.0351291261613369, 0.028556426987051964, 0.024112189188599586, 0.020488739013671875, 0.017752954736351967, 0.015505513176321983, 0.013763906434178352, 0.012453114613890648, 0.011317572556436062, 0.010340935550630093, 0.009524230845272541, 0.008847590535879135, 0.008267821744084358, 0.007754614111036062, 0.007299415301531553, 0.006893543526530266, 0.006535276770591736, 0.006214132998138666, 0.005921938922256231, 0.005655333399772644, 0.0054124994203448296], ""accuracy"": [0.4000000059604645, 0.8666666746139526, 0.9666666388511658, 0.9666666388511658, 0.9666666388511658, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]}"
cbf,Resnet-6,1.477285385131836,0.29555556178092957,"[[266, 0, 34], [298, 0, 0], [302, 0, 0]]","{""loss"": [0.9718369245529175, 0.45630592107772827, 0.29796889424324036, 0.20470796525478363, 0.140765979886055, 0.10129089653491974, 0.07204599678516388, 0.053495146334171295, 0.04112265631556511, 0.03244463726878166, 0.02650655061006546, 0.02210615947842598, 0.018849318847060204, 0.01640467904508114, 0.01453833095729351, 0.013024999760091305, 0.011770646087825298, 0.010749449022114277, 0.00988833885639906, 0.009170863777399063, 0.008550873957574368, 0.008007423020899296, 0.007534489966928959, 0.007122392300516367, 0.006750655360519886, 0.00641477620229125, 0.006110562942922115, 0.0058327061124145985, 0.005581128876656294, 0.005346191115677357], ""accuracy"": [0.46666666865348816, 0.8999999761581421, 0.9666666388511658, 0.9666666388511658, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]}"
cbf,Resnet-7,1.8999805450439453,0.3355555534362793,"[[300, 0, 0], [296, 2, 0], [302, 0, 0]]","{""loss"": [0.9540155529975891, 0.5326575636863708, 0.32310307025909424, 0.21012625098228455, 0.14744262397289276, 0.10656115412712097, 0.07761775702238083, 0.059177465736866, 0.04668046161532402, 0.03777405992150307, 0.0314791277050972, 0.026537831872701645, 0.022850994020700455, 0.020056776702404022, 0.01787407137453556, 0.01604284904897213, 0.014508475549519062, 0.013233707286417484, 0.012178086675703526, 0.011284292675554752, 0.010492484085261822, 0.009814931079745293, 0.009229539893567562, 0.00871808361262083, 0.008237211965024471, 0.007821786217391491, 0.007428198587149382, 0.007080959156155586, 0.006758044473826885, 0.006473513785749674], ""accuracy"": [0.5, 0.8999999761581421, 0.9666666388511658, 0.9666666388511658, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]}"
cbf,Resnet-8,1.1682722568511963,0.30444443225860596,"[[269, 23, 8], [293, 5, 0], [302, 0, 0]]","{""loss"": [1.1322788000106812, 0.5563739538192749, 0.34528276324272156, 0.2170843780040741, 0.1449776291847229, 0.10695024579763412, 0.07676803320646286, 0.05720391497015953, 0.04448990523815155, 0.03622961789369583, 0.030104007571935654, 0.025483857840299606, 0.021923495456576347, 0.019242528825998306, 0.017094533890485764, 0.015322064980864525, 0.013810834847390652, 0.012562788091599941, 0.011528339236974716, 0.01066084485501051, 0.00990946963429451, 0.009248779155313969, 0.008674504235386848, 0.00816511083394289, 0.007712010759860277, 0.007307224441319704, 0.006941832602024078, 0.0066115944646298885, 0.006310566794127226, 0.0060328212566673756], ""accuracy"": [0.4000000059604645, 0.8999999761581421, 0.9666666388511658, 0.9666666388511658, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]}"
cbf,Resnet-9,1.6168657541275024,0.3333333432674408,"[[300, 0, 0], [298, 0, 0], [302, 0, 0]]","{""loss"": [0.9913299083709717, 0.536821186542511, 0.3187733590602875, 0.20506887137889862, 0.13932688534259796, 0.09596184641122818, 0.06808622181415558, 0.05112303048372269, 0.03994032368063927, 0.031522236764431, 0.02589328959584236, 0.021802732720971107, 0.018613368272781372, 0.016105078160762787, 0.014263349585235119, 0.012724009342491627, 0.0115374019369483, 0.01052841916680336, 0.009671660140156746, 0.008969682268798351, 0.008364981971681118, 0.007838143967092037, 0.007368342950940132, 0.006951136514544487, 0.006594742648303509, 0.006280084606260061, 0.005983350332826376, 0.005715265870094299, 0.005468979012221098, 0.005244967062026262], ""accuracy"": [0.5, 0.8999999761581421, 0.9666666388511658, 0.9666666388511658, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]}"
